id,link,title,text length,text,SDG
287,https://www.power-technology.com/news/orsted-offshore-wind-farm-nbim/,Ørsted to sell stake in Dutch offshore wind farm to NBIM,39,"“We’re delighted to welcome NBIM as a partner on Borssele One and Two, a landmark project for the Netherlands’ transition to renewable energy, and we’re pleased to support NBIM in their strategy to invest in renewable energy infrastructure assets.”",['SDG_7']
295,https://www.power-technology.com/news/orsted-offshore-wind-farm-nbim/,Ørsted to sell stake in Dutch offshore wind farm to NBIM,29,"“We are excited to have made our first unlisted investment in renewable energy infrastructure, and we look forward to working alongside Ørsted on delivering green energy to Dutch households.”",['SDG_7']
388,https://www.pri.org/stories/2020-10-01/how-one-danish-energy-company-went-black-green-10-years,How one Danish energy company went from black to green in 10 years,33,"They even changed their name, transforming from DONG — short for Danish Oil and Natural Gas — to Ørsted, the last name of Hans Christian Ørsted, an 18th-century Danish pioneer of energy science.",['SDG_7']
392,https://www.pri.org/stories/2020-10-01/how-one-danish-energy-company-went-black-green-10-years,How one Danish energy company went from black to green in 10 years,26,"“What [Ørsted] achieved is off the scale. ... They're the biggest wind producer in the world.” David Jones, electricity analyst, Ember, a clean energy think tank",['SDG_7']
394,https://www.pri.org/stories/2020-10-01/how-one-danish-energy-company-went-black-green-10-years,How one Danish energy company went from black to green in 10 years,26,"“What they've achieved is off the scale,” said Dave Jones, electricity analyst with clean energy think tank Ember. “They're the biggest wind producer in the world.”",['SDG_7']
420,https://www.pri.org/stories/2020-10-01/how-one-danish-energy-company-went-black-green-10-years,How one Danish energy company went from black to green in 10 years,37,"The government had around a dozen policies that encouraged wind: subsidies, state-backed research and development, carbon and pollution taxes, energy labels, and a feed-in tariff, which is a policy that offers long-term contracts to renewable energy producers.",['SDG_7']
512,https://www.csrwire.com/press_releases/45844-maersk-supply-service-and-rsted-to-test-offshore-charging-buoy-to-reduce-vessel-emissions,Maersk Supply Service and Ørsted to Test Offshore Charging Buoy to Reduce Vessel Emissions,114,"The Ørsted vision is a world that runs entirely on green energy. The company develops, constructs and operates offshore and onshore wind farms, solar farms, energy storage facilities, and bioenergy plants, and provides energy products to its customers. The Group's revenue was EUR 9.1 billion in 2019. Ørsted will be carbon neutral by 2025 and targets net-zero emissions across the entire carbon footprint by 2040. The company generated 86% of its energy from renewable sources, and had reduced carbon emissions by 86%, in 2019. Ørsted ranks #1 in Corporate Knights' 2020 Global 100 index of most sustainable corporations and is recognised on CDP’s Climate change A List as a global leader in climate action.",['SDG_7']
516,https://www.csrwire.com/press_releases/45844-maersk-supply-service-and-rsted-to-test-offshore-charging-buoy-to-reduce-vessel-emissions,Maersk Supply Service and Ørsted to Test Offshore Charging Buoy to Reduce Vessel Emissions,141,"Maersk Supply Service is a leading provider of marine services and integrated solutions to the energy sector worldwide with a large fleet of anchor handling tug supply vessels and subsea support vessels. The company provides solutions to the oil and gas industry in areas such as towing and mooring installation, subsea construction, and light well intervention services, and supports other industries such as offshore wind, deep sea mineral recovery and ocean cleaning. Maersk Supply Service employs an international staff of approximately 1100 offshore and 250 onshore people. Headquartered in Lyngby, Denmark, Maersk Supply Service is represented globally with offices in Aberdeen, Accra, Luanda, Manila, Mexico City, Perth, Rio de Janeiro, St. John’s, and Singapore. Maersk Supply Service is a part of A.P. Møller – Mærsk A/S which employs roughly 70,000 employees across operations in 130 countries. For more information visit www.maersksupplyservice.com",['SDG_7']
527,https://www.windpowermonthly.com/article/1704393/orsted-beat-2020-operating-profit-forecast,Ørsted to beat 2020 operating profit forecast,28,Ørsted expects to exceed its operating profit forecast for 2020 following strong performance in the last months of the year and despite negative impacts of the coronavirus pandemic.,['SDG_3']
537,https://www.windpowermonthly.com/article/1704393/orsted-beat-2020-operating-profit-forecast,Ørsted to beat 2020 operating profit forecast,33,"It had claimed impacts from the coronavirus pandemic were minimal in the first quarter of the year, before reduced electricity demand helped to push the developer into a loss in the second quarter.",['SDG_3']
616,https://www.nbcphiladelphia.com/news/green/nj-offshore-wind-farm-to-connect-onshore-at-2-former-power-plants/2777203/,NJ Offshore Wind Farm to Connect Onshore at 2 Former Power Plants,56,"Bob Stern of the New Jersey Coalition for Wind Without Impact, a Long Beach Island group, raised concerns about the blighting of the ocean landscape and possible decreased property values from the turbines and related work. He also said sea life including the critically endangered North Atlantic Right Whales would be further imperiled by the project.",['SDG_15']
624,https://www.nbcphiladelphia.com/news/green/nj-offshore-wind-farm-to-connect-onshore-at-2-former-power-plants/2777203/,NJ Offshore Wind Farm to Connect Onshore at 2 Former Power Plants,27,"Christina Renna, CEO of the Chamber of Commerce Southern New Jersey said the project will help diversify the southern Jersey economy, which is currently dependent on casinos.",['SDG_8']
635,https://www.csrwire.com/press_releases/708841-orsted-joins-steelzero-initiative-support-transition-low-carbon-steel,Ørsted Joins the SteelZero Initiative to Support Transition to Low-Carbon Steel,37,"The steel industry contributes about 7% of global carbon emissions, making it one of the largest contributors to climate change. Zero-emissions steel is critical to meeting global climate goals and decarbonising the steel sector and value chain.",['SDG_13']
637,https://www.csrwire.com/press_releases/708841-orsted-joins-steelzero-initiative-support-transition-low-carbon-steel,Ørsted Joins the SteelZero Initiative to Support Transition to Low-Carbon Steel,55,"On track to be carbon neutral in 2025, Ørsted targets a net-zero carbon footprint and carbon-neutral supply chain in 2040. Steel accounts for about half of the emissions in Ørsted’s offshore wind supply chain. The steel used in the company’s wind turbine installations is highly specialised, and no commercially viable low-carbon alternatives are available today.",['SDG_7']
655,https://www.csrwire.com/press_releases/708841-orsted-joins-steelzero-initiative-support-transition-low-carbon-steel,Ørsted Joins the SteelZero Initiative to Support Transition to Low-Carbon Steel,93,"“Steel is a critical material for the renewable energy sector, but its production accounts for a significant amount of companies’ supply chain emissions,” says Jenny Chu, Head of Energy Productivity Initiatives at the Climate Group. “That’s why it’s so encouraging to have Ørsted, one of the largest renewable energy companies in the world, sign up as a founding member of SteelZero. Ørsted’s bold commitment to procuring 100% net-zero steel by 2040 not only demonstrates real leadership and ambition, but will also inspire their peers and others across the supply chain to follow suit.”",['SDG_7']
661,https://www.csrwire.com/press_releases/708841-orsted-joins-steelzero-initiative-support-transition-low-carbon-steel,Ørsted Joins the SteelZero Initiative to Support Transition to Low-Carbon Steel,115,"The Ørsted vision is a world that runs entirely on green energy. The company develops, constructs, and operates offshore and onshore wind farms, solar farms, energy storage facilities, and bioenergy plants, and provides energy products to its customers. The Group’s revenue was EUR 9.1 billion in 2019. Ørsted will be carbon-neutral by 2025 and targets net-zero emissions across the entire carbon footprint by 2040. The company generated 86 % of its energy from renewable sources, and had reduced carbon emissions by 86 %, in 2019. Ørsted ranks #1 in Corporate Knights' 2020 Global 100 index of most sustainable corporations and is recognised on CDP’s Climate change A List as a global leader in climate action.",['SDG_7']
803,https://www.oedigital.com/news/485042-offshore-wind-firm-rsted-s-ceo-optimistic-biden-will-speed-up-permitting,Offshore Wind Firm Ørsted's CEO Optimistic Biden Will Speed Up Permitting,26,"On Wednesday, Orsted posted full-year earnings before interest, tax, depreciation, and amortization (EBITDA) of 18.1 billion Danish crowns ($2.93 billion), up 4% on the year before.",['SDG_8']
824,https://www.golocalprov.com/business/rsted-and-Eversource-Tap-ProvPort-as-Regional-Offshore-Wind-Hub,Ørsted and Eversource Tap ProvPort as Regional Offshore Wind Hub,88,"Together, Ørsted and Eversource will deliver clean, reliable energy to the Northeast through offshore wind, providing enough electricity for nearly 1 million homes. In December 2016, Ørsted and Eversource teamed up to launch a new clean energy industry right here in the U.S. Northeast. That partnership has now grown to include at least 1,700 MW of offshore wind under development, including the 704-megawatt Revolution Wind project serving Rhode Island and Connecticut; the 132-megawatt South Fork Wind serving Long Island, and the 924-megawatt Sunrise Wind project serving New York.",['SDG_7']
885,https://www.windpowermonthly.com/article/1706283/wind-drives-orsteds-2020-profit-increase,Wind drives Ørsted’s 2020 profit increase,52,"The company made additional gains through the receipt of contracts for difference for a further 400MW at Hornsea 1 from April, as well as higher wind speeds. However, this was partially offset by adverse impacts of the coronavirus pandemic – especially on the UK power market and lower earnings from trading activities.",['SDG_3']
891,https://www.windpowermonthly.com/article/1706283/wind-drives-orsteds-2020-profit-increase,Wind drives Ørsted’s 2020 profit increase,36,"CEO Mads Nipper – who started in his new role on 1 January 2021 – said that despite the coronavirus pandemic, Ørsted had managed to keep its energy production assets “fully operational at normal availability rates”.",['SDG_3']
908,https://www.reuters.com/article/norway-swf/update-3-norways-sovereign-wealth-fund-pushes-into-renewables-with-1-6-bln-orsted-deal-idUSL8N2M026A,"Norway to ease COVID-19 curbs, vaccine rollout may be delayed",38,"Norway has had some of Europe's lowest rates of infections and deaths since the start of the pandemic, but imposed stricter measures after a rapid increase in hospitalisations in March triggered by more contagious variants of the coronavirus.",['SDG_3']
920,https://www.reuters.com/article/norway-swf/update-3-norways-sovereign-wealth-fund-pushes-into-renewables-with-1-6-bln-orsted-deal-idUSL8N2M026A,"Norway to ease COVID-19 curbs, vaccine rollout may be delayed",36,"Line Vold, head of infection control and emergency preparedness at the Institute of Public Health, predicted between eight and 12 weeks of delay in vaccinating Norwegians if the AstraZeneca and Johnson & Johnson shots were shunned.",['SDG_3']
980,https://www.reuters.com/article/us-usa-energy-orsted-idUSKBN27Y1NE,Ørsted strikes deal with labor union on U.S. offshore wind development,40,WASHINGTON (Reuters) - Danish renewable energy group Ørsted ORSTED.CO and North America's Building Trades Unions (NABTU) announced on Wednesday a deal to train an offshore wind construction workforce to build the firm's pipeline of projects down the U.S. East Coast.,['SDG_11']
1007,https://finance.yahoo.com/news/public-enterprise-peg-buys-jersey-110711024.html,Public Service Enterprise (PEG) Buys New Jersey Wind Farm Stake,56,"Public Service Enterprise Group Inc. PEG, better known as PSEG, recently completed the acquisition of 25% stake in Ocean Wind project, New Jersey’s first utility-scale offshore wind farm, from Danish energy company, Ørsted. With a generation capacity of 1,100 megawatts (MW) clean energy, this wind facility is powered by General Electric’s GE Haliade-X 12 MW turbine.",['SDG_7']
1013,https://finance.yahoo.com/news/public-enterprise-peg-buys-jersey-110711024.html,Public Service Enterprise (PEG) Buys New Jersey Wind Farm Stake,30,"Realizing the fact that clean energy holds the key to future electricity generation, utilities including PSEG have been rapidly expanding their renewable assets. The latest transaction affirms that fact only.",['SDG_7']
1122,https://www.greentechmedia.com/articles/read/orsted-the-worlds-offshore-wind-giant-gets-serious-about-solar-energy,"Orsted, the World’s Offshore Wind Giant, Gets Serious About Solar",43,"In 2022, it will complete the world’s largest offshore wind farm, the 1.3-gigawatt Hornsea 2 project in the North Sea. By 2023, its U.S. offshore pipeline will begin to mature, starting with the South Fork and Skipjack projects in New York and Maryland.",['SDG_14']
1192,https://www.csrwire.com/press_releases/709036-orsted-recognised-again-climate-leader-cdps-list,Ørsted Recognised Again As a Climate Leader on CDP's A-List,114,"The Ørsted vision is a world that runs entirely on green energy. The company develops, constructs, and operates offshore and onshore wind farms, solar farms, energy storage facilities, and bioenergy plants, and provides energy products to its customers. The Group’s revenue was EUR 9.1 billion in 2019. Ørsted will be carbon-neutral by 2025 and targets net-zero emissions across the entire carbon footprint by 2040. The company generated 86 % of its energy from renewable sources, and had reduced carbon emissions by 86%, in 2019. Ørsted ranks #1 in Corporate Knights' 2020 Global 100 index of most sustainable corporations and is recognised on CDP’s Climate change A List as a global leader in climate action.",['SDG_7']
1220,https://www.csrwire.com/reports/718336/how-orsted-works-ensure-sustainable-build-out-green-energy,How Ørsted Works to Ensure a Sustainable Build-Out of Green Energy,75,"“As a global society, we have to undertake a systemic shift, on a scale never before seen, to create a net-zero emissions world,” says Mads Nipper, CEO of Ørsted. “We need to significantly increase the build-out of green power generation, accelerate the phase-out of fossil-fuelled power generation, increase green electrification in sectors currently running on fossil fuels, and continue to increase energy efficiency in all parts of society. Crucially, that action must take place now.”",['SDG_7']
1254,https://www.csrwire.com/reports/718336/how-orsted-works-ensure-sustainable-build-out-green-energy,How Ørsted Works to Ensure a Sustainable Build-Out of Green Energy,35,"Over the past decade, Ørsted has transformed from a fossil-fuel-based energy company to a global renewable energy company. At the same time, Ørsted has worked to address other pressing sustainability challenges that affect its business.",['SDG_7']
1294,https://www.csrwire.com/reports/718336/how-orsted-works-ensure-sustainable-build-out-green-energy,How Ørsted Works to Ensure a Sustainable Build-Out of Green Energy,115,"The Ørsted vision is a world that runs entirely on green energy. Ørsted develops, constructs, and operates offshore and onshore wind farms, solar farms, energy storage facilities, and bioenergy plants, and provides energy products to its customers. Ørsted ranks as the world’s most sustainable energy company in Corporate Knights’ 2021 Global 100 index of the most sustainable corporations. The company is recognised on the CDP Climate Change A List as a global leader on climate action. Headquartered in Denmark, Ørsted employs 6,179 people. Ørsted's shares are listed on Nasdaq Copenhagen (Orsted). In 2020, the group's revenue was DKK 52.6 bn (approx. USD 8.6 bn). Visit orsted.com or follow us on Facebook, LinkedIn, Instagram, and Twitter.",['SDG_7']
1420,https://renewablesnow.com/news/danfoss-to-offtake-27-mw-of-rsteds-horns-rev-2-offshore-wind-park-734795/,Danfoss to offtake 27 MW of Ørsted's Horns Rev 2 offshore wind park,39,"Horns Rev 2 is a 91-turbine wind park with a total capacity of 209 MW, located about 30 km off the western coast of Jutland. The plant was inaugurated in 2009 and came out of subsidy in October 2020.",['SDG_7']
1443,http://biomassmagazine.com/articles/17796/orsted-aker-carbon-capture-microsoft-explore-becss-projects,"Ørsted, Aker Carbon Capture, Microsoft explore BECSS projects",42,"Even though Ørsted foresees that technologies based on renewable power will replace a substantial part of bioenergy in the district heating towards 2040, it expects carbon capture at a number of biomass-fired units to play an important role in the energy transition.",['SDG_7']
1589,https://www.power-technology.com/news/tsmc-signs-power-purchase-agreement-with-orsted-in-taiwan/,TSMC signs power purchase agreement with Ørsted,38,"TSMC senior vice-president JK Lin said: “TSMC is happy for this opportunity to collaborate with Ørsted and not only expand the adoption of renewable energy, but also to work towards Taiwan’s energy transition to build world-class industrial environment.",['SDG_7']
1595,https://www.power-technology.com/news/tsmc-signs-power-purchase-agreement-with-orsted-in-taiwan/,TSMC signs power purchase agreement with Ørsted,37,"Under the agreement, Greater Changhua 2b & 4 offshore wind farm will receive a higher price for power than its originally agreed feed-in tariff. This price will include Taiwan renewable energy certificate during the 20-year contract period.",['SDG_7']
1597,https://www.power-technology.com/news/tsmc-signs-power-purchase-agreement-with-orsted-in-taiwan/,TSMC signs power purchase agreement with Ørsted,33,Ørsted Offshore executive vice-president and CEO Martin Neubert said: “We commend TSMC for their leadership in renewable energy sourcing and for taking tangible action to deliver on their ambitious greenhouse gas reduction targets.,['SDG_7']
1643,https://ocnjdaily.com/public-airs-concerns-wind-farm/,Public Airs Concerns Over Wind Farm,48,"The consistent concerns were the sight of the turbines, the sound, the effects on marine life, including the North Atlantic right whale, and birds, navigation for fishing vessels and other boats, tourism and the positive and negative implications for the shore economy as well as the hospitality industry.","['SDG_2', 'SDG_8', 'SDG_14']"
1657,https://ocnjdaily.com/public-airs-concerns-wind-farm/,Public Airs Concerns Over Wind Farm,59,"“One nautical mile is 15 percent longer than on land. The layout provides clear and safe navigation out of larger fishing ports of Atlantic City, Barnegat Light and Cape May,” Patterson said. “Ocean Wind has undertaken numerous fishery reviews looking at locations of prime fishing grounds. The wind farm area itself has little overlap on the prime fishing areas.”","['SDG_2', 'SDG_14']"
1667,https://ocnjdaily.com/public-airs-concerns-wind-farm/,Public Airs Concerns Over Wind Farm,51,"Several proponents of the wind farm spoke in support of the plan. Ciro Scalera, a representative of the New Jersey Laborers Union, said that he was in favor of the project because it could be beneficial to the area for job creation and the economy as well as providing green energy.",['SDG_8']
1677,https://ocnjdaily.com/public-airs-concerns-wind-farm/,Public Airs Concerns Over Wind Farm,26,"He noted that the project would also likely adversely affect the real estate, hospitality, tourism, and fishing industries which keep the Cape May County economy strong.",['SDG_8']
1755,https://www.prnewswire.com/news-releases/edison-chouest-offshore-affiliate-executes-long-term-charter-agreement-with-orsted-and-eversource-for-provision-of-the-first-us-jones-act-compliant-windfarm-service-operation-vessel-301143725.html,Edison Chouest Offshore Affiliate Executes Long-Term Charter Agreement With Ørsted And Eversource For Provision Of The First U.S. Jones Act Compliant Windfarm Service Operation Vessel,181,"Eversource (NYSE: ES), celebrated as a national leader for its corporate citizenship, is the #1 energy company in Newsweek's list of America's Most Responsible Companies for 2020 and recognized as one of America's Most JUST Companies and the #1 utility by Forbes and JUST Capital. Eversource transmits and delivers electricity to 1.25 million customers in 149 cities and towns, provides natural gas to 237,000 customers in 74 communities, and supplies water to approximately 199,000 customers in 52 communities across Connecticut. Eversource harnesses the commitment of approximately 8,300 employees across three states to build a single, united company around the mission of safely delivering reliable energy and water with superior customer service. The #1 energy efficiency provider in the nation, the company is empowering a clean energy future in the Northeast, with nationally-recognized energy efficiency solutions and successful programs to integrate new clean energy resources like solar, offshore wind, electric vehicles and battery storage, into the electric system. For more information, please visit eversource.com, and follow us on Twitter, Facebook, Instagram, and LinkedIn. For more information on our water services, visit aquarionwater.com.",['SDG_7']
1760,https://www.greentechmedia.com/articles/read/rsted-names-mads-nipper-as-next-ceo,Ørsted Names Mads Nipper Its Next CEO,30,"Poulsen, who resigned in June, led the company for eight years, overseeing its transformation from Danish Oil and Natural Gas (Dong) to its status today as a renewable energy major.",['SDG_7']
1777,https://www.power-technology.com/news/orsted-us-offshore-wind-labour-deal-agreement-nabtu-new-york-renewable-growth/,Ørsted announces deal with US union for offshore labour,22,The company has made a national agreement with North America’s Building Trades Unions (NABTU) to help train workers for its US developments.,['SDG_11']
1793,https://www.power-technology.com/news/orsted-us-offshore-wind-labour-deal-agreement-nabtu-new-york-renewable-growth/,Ørsted announces deal with US union for offshore labour,45,"Equinor’s plan must first be approved by the New York State Energy Research and Development Authority (NYSERDA). The Authority administers an increasing move toward renewable energy across the state. In July, it issued tenders for 4GW of renewable energy capacity, including 2.5GW offshore wind power.",['SDG_7']
1806,https://www.oedigital.com/news/485094-danish-offshore-wind-farm-hits-10-000-000-000-kwh-milestone,"Danish Offshore Wind Farm Hits 10,000,000,000 kWh Milestone",88,"However, Allan Due Overbeck, Head of Operations at Horns Rev 2 says that Horns Rev 2 has exceeded all expectations: ""Since 2009, the total power generated by Horns Rev 2 corresponds to the annual power consumption of more than 3 million Danish households. Technically, this means that over an 11-year period, Horns Rev 2 can document an exceptionally high capacity factor* of approx. 50 %. This shows that the North Sea holds fantastic wind power potential and, given its size, is the perfect location for offshore wind farms.""",['SDG_7']
1840,https://solarindustrymag.com/orsteds-helena-energy-center-gets-green-light,Orsted Helena Energy Center Gets Green Light,72,"As part of the project, Ørsted is partnering with the Texas Native Seeds Program, a non-profit research and development program of Caesar Kleberg Wildlife Research Institute at Texas A&M – Kingsville, to research the optimal seed mix and planting process to grow native grasses under a portion of the solar project. Potential benefits include lower operational costs, enhanced biodiversity to attract pollinators, lower erosion and production improvements by lowering the ambient temperature.",['SDG_2']
