id,page,bbox,text length,text,SDG
593,page 16 of ../pdf/orsted sustainability report.pdf,"(331.65496826171875, 193.97430419921875, 531.8829956054688, 248.182373046875)",54,We reduce emissions from our supply chain and from  wholesale buying and selling of natural gas and fossil fuel- based power (scope 3) in line with scientific requirements and  we work to achieve carbon neutrality by 2040 (scopes 1-3).  We work with our suppliers to reduce emissions from offshore  wind farm components and logistics. ,['SDG_7']
614,page 16 of ../pdf/orsted sustainability report.pdf,"(39.7113037109375, 647.6683959960938, 981.2515869140625, 665.9173583984375)",46,SDG contribution 13: We will become carbon-neutral to help limit climate  change. 13: We are reducing our indirect carbon emissions across our  entire carbon footprint to help limit climate change. SDG contribution 7.2: We are increasing the share of renewable energy in the global energy mix. ,['SDG_7']
639,page 17 of ../pdf/orsted sustainability report.pdf,"(331.65509033203125, 134.1371612548828, 528.5587158203125, 188.39422607421875)",45,"Green and reliable energy system: To help balance supply  and demand of green energy, store energy, and use green  power to decarbonise industries where emissions are  particularly hard to abate, new technologies must be tested,  piloted, and scaled to fully decarbonise the world’s energy  consumption. ",['SDG_7']
666,page 17 of ../pdf/orsted sustainability report.pdf,"(39.7060546875, 607.4940795898438, 532.4498901367188, 652.7491455078125)",52,SDG contribution 7.2: We are increasing the share of renewable energy in the  global energy mix. 7.1: We explore new technologies to decarbonise the world's  energy consumption - especially in sectors where emissions  are hard to abate 9.4: We are developing and adopting a greater range of clean  and environmentally sound technologies. ,['SDG_7']
669,page 17 of ../pdf/orsted sustainability report.pdf,"(117.65798950195312, 663.277099609375, 528.1007080078125, 690.80810546875)",23,Coal consumption (million tonnes) Strong commitment to engage in the development of  green hydrogen technologies and to deploy energy storage  solutions where meaningful. ,['SDG_7']
697,page 18 of ../pdf/orsted sustainability report.pdf,"(39.68896484375, 192.5224151611328, 319.07781982421875, 264.78350830078125)",65,"Our approach We only source sustainable biomass certified by independent,  third-party certification bodies, in line with the Danish  industry agreement on sustainable wooden biomass. Our  biomass is from sustainably managed production forests with  ongoing reforestation. The wood pellets and chips are made  from residues and low-grade wood in low demand, often from  sawmills and from sawdust, regular thinning of forests, or  diseased or crooked trees. ",['SDG_15']
741,page 19 of ../pdf/orsted sustainability report.pdf,"(39.68510055541992, 127.73023223876953, 313.5740051269531, 172.98529052734375)",42,"Sustainability  challenge Consumption and recycling of resources: Natural resources  are currently being used faster than their reproduction rate.  This impacts natural ecosystems, e.g. through water scarcity  and waste pollution. To reduce consumption and ensure  availability, it is crucial to use resources sustainably. ",['SDG_12']
745,page 19 of ../pdf/orsted sustainability report.pdf,"(943.93701171875, 153.9029998779297, 1139.902587890625, 248.4149932861328)",59,"COVID-19 has left its mark on our business, as with  countless others. Thanks to our hard-working and  robust staff, we have not experienced any decrease  in business performance or productivity so far.  However, the physical, social, and mental health of  our employees has been affected – as expressed  through signs of anxiety and a general sense of  decreased well-being.  ",['SDG_3']
748,page 19 of ../pdf/orsted sustainability report.pdf,"(943.93701171875, 597.9030151367188, 1137.31787109375, 728.4149780273438)",87,"We take our responsibility for employee mental  health very seriously. Throughout 2020, our lead- ership has continually emphasised the importance  of not simply focusing on achieving our business  targets, but, even more importantly, of celebrating  efforts which will secure employee health well into  2021. We have also held a series of virtual roundta- bles to help our managers support and talk about  mental health within their teams. In 2021, we will  continue our efforts to care for the physical, social,  and mental well-being of all our employees.  ",['SDG_3']
752,page 19 of ../pdf/orsted sustainability report.pdf,"(39.68499755859375, 248.3025665283203, 319.0423583984375, 401.581787109375)",134,"Our progress • We continuously work to increase the reuse and recycling  rates of all our waste fractions. The majority of our waste  is oil-containing wastewater and bioashes from CHPs, and,  in 2020, the vast majority of these types of waste were  reused or recycled. The remainder of our waste primarily  comes from CHP plants, Renescience, offshore wind  operations, and administration, and reuse or recycling of it is  more challenging. • We commissioned Renescience, a waste-to-energy plant in  Northwich, UK. The plant has the potential to decarbonise  power and heat generation and sort waste into source  materials, such as plastic and metal, for recycling. • We have created new waste and water management  policies, and improved reporting frameworks complying  with GRI standards. • All our fully operational sites work in accordance with ISO  14001. ",['SDG_12']
754,page 19 of ../pdf/orsted sustainability report.pdf,"(651.9749755859375, 248.36598205566406, 931.4771728515625, 428.6512451171875)",168,"Our progress • We have developed guidelines and material on best  practice in remote working during the COVID-19 pandemic,  including physical exercises, psychosocial health guidelines,  and safety briefings when working from home. • During the COVID-19 pandemic, our People & Development  team has provided managers with additional support on  how to be aware of mental pressure in their teams, and  how they can address and alleviate such pressure.  • For World Mental Health Day, we focused on the COVID-19  situation and encouraged employees to reach out to each  other to connect and offer mutual support. • We are piloting the Howdy app in our Offshore business to  mitigate stress and provide early stress interventions. • We are revising our harassment and bullying policy to  provide easier and more accessible guidance on how to  handle cases of bullying and harassment. • The Danish harassment policy has been updated according  to new legislative requirements in Denmark.  • All employees have been offered flu vaccines as preventive  measures for physical health.  ",['SDG_3']
770,page 19 of ../pdf/orsted sustainability report.pdf,"(39.7130126953125, 646.1273803710938, 311.2624816894531, 682.38037109375)",29,"SDG contribution 12.4 and 12.5: We work to minimise our resource  consumption, including hazardous waste.  6.4 and 6.5 We improve water quality by reducing pollution  and increasing water-use efficiency. ","['SDG_6', 'SDG_12']"
808,page 20 of ../pdf/orsted sustainability report.pdf,"(39.68499755859375, 248.31861877441406, 318.8301696777344, 446.60791015625)",178,"Our progress • We have established a leadership role in our Global Talent  function (a Head of Talent Identification & Deployment).  • We have increased investment in our learning platform,  Ørsted Academy (in-person, virtual, and digital training). • We have launched several new virtual initiatives for  employee development, including webinar sessions on  career development, a new learning management system,  and a global learning week for employees to learn about  Ørsted’s business from internal and external speakers. • We have missed our 2020 target despite significant  investments in 2019 and 2020 in employee learning  resources and programmes and in enabling managers to  develop their talent. In 2020, employees’ perception of their  opportunities to develop improved. We appreciate that  cultural change takes time, and our efforts are reflected in  our overall employee development score, which primarily  focuses on the embedding of learning and development in  the organisational culture.  • In 2021, we will continue our determined efforts on  developing our learning culture and resources, on building  manager capability, and ensuring employees understand  how they can be accountable for their development. ",['SDG_9']
838,page 21 of ../pdf/orsted sustainability report.pdf,"(331.65509033203125, 134.1371612548828, 528.0469970703125, 170.39019775390625)",28,"Business partner conduct: Risks in supply chains to labour  and human rights, corruption, and environment must be  managed to mitigate impacts on workers, communities, and  the natural environment. ",['SDG_16']
