id,page,bbox,text length,text
20,page 1 of ../pdf/orsted sustainability report.pdf,"(125.1968002319336, 272.3741149902344, 414.480712890625, 306.8861389160156)",29,"Throughout this report, we spotlight how we work systematically and pro- grammatically to identify and assess the sustainability challenges which are  most important to our stakeholders and our business. "
21,page 1 of ../pdf/orsted sustainability report.pdf,"(125.1968002319336, 424.72869873046875, 185.0460968017578, 434.2557067871094)",3,"Mads Nipper, CEO "
22,page 1 of ../pdf/orsted sustainability report.pdf,"(125.1968002319336, 338.7655334472656, 442.5328674316406, 419.08154296875)",47,"We don’t have all the answers or full visibility of the  journey we have ahead of us to create a sustainable  society. That shouldn’t prevent us from taking decisive  action now to stop climate change and create a better  tomorrow. After all, that’s what leadership is about. "
23,page 1 of ../pdf/orsted sustainability report.pdf,"(125.17279815673828, 463.0135498046875, 356.0622253417969, 479.3455505371094)",5,Our strategic approach to sustainability 
24,page 1 of ../pdf/orsted sustainability report.pdf,"(138.1844940185547, 624.8909912109375, 220.08306884765625, 634.0889892578125)",3,– Biomass sustainability 
25,page 1 of ../pdf/orsted sustainability report.pdf,"(138.1844940185547, 636.72802734375, 211.24276733398438, 645.926025390625)",3, – Sustainable finance 
26,page 1 of ../pdf/orsted sustainability report.pdf,"(138.1844940185547, 648.5650634765625, 254.55877685546875, 666.7650146484375)",8,–  Green energy for heavy industry  and transport 
27,page 1 of ../pdf/orsted sustainability report.pdf,"(138.1844940185547, 669.404052734375, 262.6850280761719, 687.60400390625)",8,–  Business partner and human rights  due diligence 
28,page 1 of ../pdf/orsted sustainability report.pdf,"(112.268798828125, 646.7433471679688, 121.466796875, 750.887939453125)",4,Importance to our stakeholders 
29,page 1 of ../pdf/orsted sustainability report.pdf,"(244.55780029296875, 789.4216918945312, 333.91839599609375, 798.6196899414062)",4,Importance to our business 
30,page 1 of ../pdf/orsted sustainability report.pdf,"(138.185791015625, 705.9747314453125, 272.9693908691406, 715.1727294921875)",5,–  Information security and cyberattacks 
31,page 1 of ../pdf/orsted sustainability report.pdf,"(138.185791015625, 717.8117065429688, 254.39205932617188, 727.0097045898438)",6,–  Reuse and recycling of materials 
32,page 1 of ../pdf/orsted sustainability report.pdf,"(138.185791015625, 729.648681640625, 203.17933654785156, 738.8466796875)",3,–  Energy efficiency 
33,page 1 of ../pdf/orsted sustainability report.pdf,"(138.185791015625, 741.4857177734375, 271.1703796386719, 759.6857299804688)",8,–  Minerals and metals for green energy  deployment 
34,page 1 of ../pdf/orsted sustainability report.pdf,"(296.22479248046875, 705.981689453125, 425.87725830078125, 715.1796875)",9,–  Use of sea and land for green energy 
35,page 1 of ../pdf/orsted sustainability report.pdf,"(296.22479248046875, 717.8187255859375, 433.654296875, 727.0167236328125)",5,–  Employee attraction and development 
36,page 1 of ../pdf/orsted sustainability report.pdf,"(296.22479248046875, 729.6557006835938, 409.97332763671875, 738.8536987304688)",5,–  Diversity and equal opportunity 
37,page 1 of ../pdf/orsted sustainability report.pdf,"(296.22479248046875, 741.4927368164062, 384.7950744628906, 750.6907348632812)",4,–  Reliable energy systems 
38,page 1 of ../pdf/orsted sustainability report.pdf,"(296.22479248046875, 753.3297119140625, 414.0963439941406, 762.5277099609375)",5,–  Business ethics and transparency 
39,page 1 of ../pdf/orsted sustainability report.pdf,"(296.22479248046875, 765.1666870117188, 356.68865966796875, 774.3646850585938)",3,–  Responsible tax 
40,page 1 of ../pdf/orsted sustainability report.pdf,"(296.22479248046875, 624.90771484375, 354.0447692871094, 634.105712890625)",3,– Climate action 
41,page 1 of ../pdf/orsted sustainability report.pdf,"(296.22479248046875, 636.7447509765625, 387.83306884765625, 654.9447021484375)",7,–  Biodiversity impacts and  changes to ecosystems 
42,page 1 of ../pdf/orsted sustainability report.pdf,"(296.22479248046875, 657.583740234375, 387.6161193847656, 666.78173828125)",4,– Local community impact 
43,page 1 of ../pdf/orsted sustainability report.pdf,"(296.22479248046875, 669.4207153320312, 401.92388916015625, 678.6187133789062)",5,"– Safety, health, and well-being "
44,page 1 of ../pdf/orsted sustainability report.pdf,"(125.17649841308594, 543.753173828125, 194.8397674560547, 579.957275390625)",12,A range of sustain- ability challenges  impact our business  and our stakeholders 
45,page 1 of ../pdf/orsted sustainability report.pdf,"(222.95249938964844, 543.76025390625, 272.10577392578125, 570.9622802734375)",6,We identify  and prioritise  key challenges 
46,page 1 of ../pdf/orsted sustainability report.pdf,"(309.33251953125, 543.7672729492188, 378.6457824707031, 570.9692993164062)",8,We develop pro- grammes to address  key challenges 
47,page 1 of ../pdf/orsted sustainability report.pdf,"(395.2015380859375, 543.7742919921875, 456.36676025390625, 579.9783325195312)",12,We aspire to have  a transformative  impact on SDGs 7  and 13 
48,page 1 of ../pdf/orsted sustainability report.pdf,"(82.49449920654297, 658.3809204101562, 97.82450103759766, 667.5789184570312)",1,High 
49,page 1 of ../pdf/orsted sustainability report.pdf,"(39.1714973449707, 602.9129028320312, 54.50149917602539, 612.1109008789062)",1,High 
50,page 1 of ../pdf/orsted sustainability report.pdf,"(39.1714973449707, 658.3809204101562, 53.08749771118164, 667.5789184570312)",1,Low 
51,page 1 of ../pdf/orsted sustainability report.pdf,"(125.19448852539062, 599.1259155273438, 263.1139831542969, 608.6529541015625)",4,Most important sustainability challenges 
52,page 1 of ../pdf/orsted sustainability report.pdf,"(39.680328369140625, 24.286693572998047, 1150.8643798828125, 35.1746940612793)",6,Sustainability report 2020 3   Ørsted 2 
53,page 2 of ../pdf/orsted sustainability report.pdf,"(37.91339874267578, 92.50382995605469, 397.18798828125, 176.78985595703125)",5,Decarbonising our   total carbon footprint 
54,page 2 of ../pdf/orsted sustainability report.pdf,"(37.91339874267578, 193.50982666015625, 277.4559631347656, 207.80384826660156)",10," 2020 data¹ (1 kt = 1,000 tonnes of CO2 equivalents) "
55,page 2 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 252.07984924316406, 101.86022186279297, 276.7251281738281)",6,"Supply chain (1,099 kt in total) "
56,page 2 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 285.2291259765625, 230.0349884033203, 326.5841064453125)",29,Emissions mainly² come from manufacturing and  transport of offshore wind farm components and  secondly from mining and transport of coal which we  will have phased out entirely in 2023. 
57,page 2 of ../pdf/orsted sustainability report.pdf,"(658.9824829101562, 757.3765869140625, 1151.7938232421875, 798.7315673828125)",70,"¹  Our carbon emissions accounting follows the Greenhouse Gas Protocol. This illustration shows the main sources of emissions per category.  Emission sources not illustrated make up 111 kt of our total carbon footprint from a variety of miscellaneous sources. For our detailed emis- sions accounting, please see our ESG performance report 2020, pages 16-17. ² Supply chain emissions from energy sales activities are accounted for under the 'Energy sales' category. "
58,page 2 of ../pdf/orsted sustainability report.pdf,"(39.63999938964844, 476.8597106933594, 154.79200744628906, 497.34771728515625)",3,Resource extraction Refinement 
59,page 2 of ../pdf/orsted sustainability report.pdf,"(100.63999938964844, 551.8997192382812, 120.4800033569336, 562.7877197265625)",1,Steel 
60,page 2 of ../pdf/orsted sustainability report.pdf,"(37.0880012512207, 671.2197265625, 82.1520004272461, 691.7077026367188)",2,Sustainable biomass 
61,page 2 of ../pdf/orsted sustainability report.pdf,"(39.64799880981445, 782.259765625, 79.61599731445312, 802.7477416992188)",2,Resource extraction 
62,page 2 of ../pdf/orsted sustainability report.pdf,"(117.43199157714844, 671.2197265625, 158.48001098632812, 682.1077270507812)",1,Processing 
63,page 2 of ../pdf/orsted sustainability report.pdf,"(115.43999481201172, 782.2597045898438, 160.46401977539062, 793.147705078125)",1,Refinement 
64,page 2 of ../pdf/orsted sustainability report.pdf,"(210.27200317382812, 671.2197265625, 236.55201721191406, 691.7077026367188)",2,Wood pellets 
65,page 2 of ../pdf/orsted sustainability report.pdf,"(200.50399780273438, 782.259765625, 292.76800537109375, 812.0277099609375)",7,Gas Oil Coal (coal phased  out 2023) 
66,page 2 of ../pdf/orsted sustainability report.pdf,"(262.2879943847656, 671.2197265625, 285.4399719238281, 691.7077026367188)",2,Wood chips 
67,page 2 of ../pdf/orsted sustainability report.pdf,"(278.33599853515625, 603.499755859375, 316.2080078125, 623.9877319335938)",2,Transport vehicles 
68,page 2 of ../pdf/orsted sustainability report.pdf,"(138.27200317382812, 551.8997192382812, 246.84002685546875, 572.3877563476562)",4,Cement Production of goods 
69,page 2 of ../pdf/orsted sustainability report.pdf,"(278.3280029296875, 480.1637268066406, 421.3671875, 509.9317626953125)",8,Transport vessels Offshore wind farm construction 53 kt 
70,page 2 of ../pdf/orsted sustainability report.pdf,"(1012.760009765625, 603.499755859375, 1037.6480712890625, 623.667724609375)",3,Waste 1 kt 
71,page 2 of ../pdf/orsted sustainability report.pdf,"(961.16796875, 556.8917236328125, 1037.9112548828125, 577.0597534179688)",4,Employee commute 9 kt 
72,page 2 of ../pdf/orsted sustainability report.pdf,"(1099.1279296875, 495.7797546386719, 1144.6793212890625, 515.94775390625)",4,"Power sales 1,930 kt  "
73,page 2 of ../pdf/orsted sustainability report.pdf,"(960.9998779296875, 392.16375732421875, 1038.0631103515625, 412.331787109375)",4,Work-related travel 3 kt 
74,page 2 of ../pdf/orsted sustainability report.pdf,"(1103.9678955078125, 420.2997741699219, 1139.8321533203125, 440.4678039550781)",4,"Gas sales 21,980 kt "
75,page 2 of ../pdf/orsted sustainability report.pdf,"(1018.5278930664062, 495.77978515625, 1057.9200439453125, 516.2677612304688)",3,Food and   drinks 
76,page 2 of ../pdf/orsted sustainability report.pdf,"(448.68792724609375, 480.1637878417969, 809.4718017578125, 500.65179443359375)",8,Offshore wind  farms Crew transport and  service vessels 
77,page 2 of ../pdf/orsted sustainability report.pdf,"(760.2639770507812, 499.4197998046875, 779.320068359375, 509.93182373046875)",2,25 kt 
78,page 2 of ../pdf/orsted sustainability report.pdf,"(210.4639892578125, 230.57984924316406, 1080.3680419921875, 241.4678497314453)",6,Scope 3 Scope 3 Scopes 1-2 
79,page 2 of ../pdf/orsted sustainability report.pdf,"(865.0320434570312, 438.25982666015625, 900.1439819335938, 449.1478271484375)",1,Buildings 
80,page 2 of ../pdf/orsted sustainability report.pdf,"(875.3920288085938, 447.91583251953125, 889.7760009765625, 458.4278564453125)",2,2 kt 
81,page 2 of ../pdf/orsted sustainability report.pdf,"(961.9600219726562, 438.25982666015625, 1035.6793212890625, 458.4278564453125)",5,Goods and services 47 kt 
82,page 2 of ../pdf/orsted sustainability report.pdf,"(848.1119384765625, 495.77984619140625, 1006.6959838867188, 506.6678466796875)",4,Work equipment Heating Power 
83,page 2 of ../pdf/orsted sustainability report.pdf,"(449.2639465332031, 566.4918212890625, 800.1351928710938, 586.9798583984375)",7,Onshore wind  farms Solar farms Service vehicles 
84,page 2 of ../pdf/orsted sustainability report.pdf,"(763.367919921875, 583.9638671875, 776.2158813476562, 594.475830078125)",2,1 kt 
85,page 2 of ../pdf/orsted sustainability report.pdf,"(856.087890625, 556.891845703125, 911.4398803710938, 567.7798461914062)",2,Company cars 
86,page 2 of ../pdf/orsted sustainability report.pdf,"(877.3358764648438, 566.5479125976562, 890.183837890625, 577.0598754882812)",2,1 kt 
87,page 2 of ../pdf/orsted sustainability report.pdf,"(487.02386474609375, 650.2518920898438, 541.3670043945312, 680.3399047851562)",3,Sustainable   biomass-fired  plants 
88,page 2 of ../pdf/orsted sustainability report.pdf,"(443.1038513183594, 782.2598876953125, 546.470947265625, 802.4279174804688)",7,Fossil-fuelled power plants (coal phased out 2023) 
89,page 2 of ../pdf/orsted sustainability report.pdf,"(482.03985595703125, 801.5159301757812, 507.5278625488281, 812.0278930664062)",2,"1,811 kt "
90,page 2 of ../pdf/orsted sustainability report.pdf,"(343.0380859375, 252.07911682128906, 406.088134765625, 276.7251281738281)",5,Construction (166 kt in total) 
91,page 2 of ../pdf/orsted sustainability report.pdf,"(343.0380859375, 285.2291259765625, 426.5505676269531, 337.0841064453125)",19,The main emission  source is the fuel for  the vessels used by our  contractors to install  offshore wind farms. 
92,page 2 of ../pdf/orsted sustainability report.pdf,"(445.618896484375, 252.07911682128906, 534.577880859375, 276.7251281738281)",6,"Energy generation (1,811 kt in total) "
93,page 2 of ../pdf/orsted sustainability report.pdf,"(445.618896484375, 285.2291259765625, 547.5288696289062, 358.0841064453125)",30,"Emissions mainly come from  burning coal at combined  heat and power plants. In  2023, we will have phased  out coal entirely, bringing  the emissions from genera- tion close to zero. "
94,page 2 of ../pdf/orsted sustainability report.pdf,"(722.9722900390625, 252.07911682128906, 779.622314453125, 276.7251281738281)",5,Operations  (26 kt in total) 
95,page 2 of ../pdf/orsted sustainability report.pdf,"(722.9722900390625, 285.2291259765625, 813.392333984375, 337.0841064453125)",21,Emissions mainly come  from fuel used for the ves- sels we charter during op- eration and maintenance  of offshore wind farms. 
96,page 2 of ../pdf/orsted sustainability report.pdf,"(837.2125854492188, 252.07911682128906, 911.6516723632812, 276.7251281738281)",5,Administration  (63 kt in total) 
97,page 2 of ../pdf/orsted sustainability report.pdf,"(837.2125854492188, 285.2291259765625, 1052.154296875, 337.0841064453125)",51,"Some emissions, e.g. from company cars, result directly from  our daily business administration (scope 1). The majority is in- directly linked to our activities, such as the emissions from the  production of the energy we buy for our own consumption  (scope 2), and the goods and services we buy (scope 3). "
98,page 2 of ../pdf/orsted sustainability report.pdf,"(1079.0550537109375, 252.07911682128906, 1145.1263427734375, 276.7251281738281)",6,"Energy sales  (23,910 kt in total) "
99,page 2 of ../pdf/orsted sustainability report.pdf,"(1079.0550537109375, 285.2291259765625, 1157.7679443359375, 326.5841064453125)",11,Emissions mainly  come from wholesale  buying and selling of  natural gas. 
100,page 2 of ../pdf/orsted sustainability report.pdf,"(720.7755737304688, 204.52772521972656, 823.9744262695312, 220.85972595214844)",2,Ørsted’s activities 
101,page 2 of ../pdf/orsted sustainability report.pdf,"(652.111572265625, 103.94375610351562, 1015.2637329101562, 167.69967651367188)",39,A world that runs entirely on green energy starts with ourselves.  We work every day to decarbonise our own operations and  energy generation (scopes 1 and 2) and to reach carbon  neutrality in our total carbon footprint (scopes 1-3). 
102,page 2 of ../pdf/orsted sustainability report.pdf,"(830.0786743164062, 656.17822265625, 980.987548828125, 669.7882080078125)",6,  50 % carbon reduction in 2032 
103,page 2 of ../pdf/orsted sustainability report.pdf,"(822.9921264648438, 675.925537109375, 984.6947021484375, 722.4935302734375)",19,"   Scope 3: Indirect emissions from our  supply chain, construction contractors,  wholesale buying and selling of natural  gas, and administration. "
104,page 2 of ../pdf/orsted sustainability report.pdf,"(1001.102294921875, 656.17822265625, 1133.2078857421875, 669.7882080078125)",3,  Carbon-neutral by 2040 
105,page 2 of ../pdf/orsted sustainability report.pdf,"(994.0156860351562, 675.925537109375, 1141.4136962890625, 698.4935302734375)",10,   Scopes 1-3: All direct and indirect  emissions from our business. 
106,page 2 of ../pdf/orsted sustainability report.pdf,"(45.97209930419922, 383.18890380859375, 173.7305145263672, 394.076904296875)",5,Renewable energy assets (592 kt) 
107,page 2 of ../pdf/orsted sustainability report.pdf,"(49.92409896850586, 645.3729248046875, 208.9545440673828, 656.2609252929688)",7,Combined heat and power plants (507 kt) 
108,page 2 of ../pdf/orsted sustainability report.pdf,"(659.0551147460938, 656.17822265625, 779.5750732421875, 669.7882080078125)",3,  Carbon-neutral by 2025 
109,page 2 of ../pdf/orsted sustainability report.pdf,"(651.968505859375, 675.925537109375, 805.482666015625, 734.4935302734375)",24,"   Scopes 1 and 2: Direct emissions from  our energy generation, operations,  and administration (scope 1); and  indirect emissions from our energy  consumption (scope 2). "
110,page 2 of ../pdf/orsted sustainability report.pdf,"(341.2565002441406, 547.2935180664062, 390.0084533691406, 586.6614990234375)",6,Onshore  wind farm   construction 12 kt 
111,page 2 of ../pdf/orsted sustainability report.pdf,"(352.5364990234375, 689.6375732421875, 412.7764587402344, 719.405517578125)",5,Equipment and  components 101 kt 
112,page 2 of ../pdf/orsted sustainability report.pdf,"(39.6802978515625, 24.286693572998047, 1150.8643798828125, 35.1746940612793)",6,Sustainability report 2020   Ørsted 5 4 
113,page 3 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 92.50382995605469, 434.931640625, 214.8018798828125)",12,How we transition to a  world that runs entirely  on green energy 
114,page 3 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 248.37413024902344, 196.55543518066406, 318.8861389160156)",39,"In a year marked by crisis, 2020 has  reminded us how forces beyond our  immediate control can profoundly shape  and impact our lives. It has reinforced the  urgency to change the way we treat our  planet – our home.  "
115,page 3 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 332.3741149902344, 196.12501525878906, 450.8861389160156)",65,"2020 will be remembered first and  foremost for the COVID-19 pandemic.  In the space of one year, more than  80 million people were infected by the  virus, almost two million lost their lives,  and more than 100 million people were  pushed into extreme poverty. There was  scarcely an economy or a community in  the world that was not impacted by the  virus in some way. "
116,page 3 of ../pdf/orsted sustainability report.pdf,"(39.68499755859375, 464.3741149902344, 196.51539611816406, 690.8861083984375)",128,"Climate change also impacts many lives  as it continues to pressure our global  ecosystems and threatens to fundamen- tally change the conditions for life on our  planet. 2020 became yet another year in  recent history marked by the increased  frequency and severity of extreme  weather events. We saw the area cov- ered by artic sea ice reach a historic low.  We saw record-breaking wildfires rage  through Australia and the West Coast  of the United States. We saw unusually  heavy monsoon flooding ruin millions of  homes in India and South and East Asia.  According to the UN’s ‘United in Science  2020’ report, the concentration of green- house gasses in the atmosphere reached  record levels in 2020, and the world is set  to see its warmest five years on record. "
117,page 3 of ../pdf/orsted sustainability report.pdf,"(39.68499755859375, 704.3741455078125, 198.30023193359375, 798.8861083984375)",47,"The need to build a more sustainable  world has never been greater. To avoid  catastrophic and irreversible consequenc- es of climate change, science tells us that  global warming must be limited to 1.5 °C  above pre-industrial levels. This requires  the world to reach net-zero emissions by  2050.  "
118,page 3 of ../pdf/orsted sustainability report.pdf,"(994.0156860351562, 104.37413024902344, 1152.7655029296875, 270.8861389160156)",91,"We were also happy to see the increasing  number of companies joining the Science  Based Targets initiative (SBTi) to take sci- ence-based action to reduce their emis- sions. Over the course of 2020, more than  365 businesses joined SBTi, and more  than 1,000 companies now work with the  initiative to reduce their emissions. These  companies are setting emission reduction  targets in line with what is necessary to  meet the goals of the Paris Agreement,  and, together, they represent an inspiring  global movement, making up 20 % of the  Global Fortune 500.  "
119,page 3 of ../pdf/orsted sustainability report.pdf,"(994.0156860351562, 283.90252685546875, 1151.9337158203125, 402.8861389160156)",67,"The need to propel action with policy By the end of the year, it was reassuring  to learn from the ’Climate Action Tracker’  that with the new governmental carbon  emission reduction targets, the goals  of the Paris Agreement are now within  reach. However, to limit global warming  to 1.5 °C, more commitments are needed,  and they must be followed up with deci- sive action across our society.  "
120,page 3 of ../pdf/orsted sustainability report.pdf,"(994.0156860351562, 416.3741149902344, 1152.349365234375, 522.8861083984375)",54,More governments around the world  must set greenhouse gas emission reduc- tion targets that are aligned with what  climate science deems necessary to stay  within the 1.5 °C threshold. And all long- term 2050 targets must be supported by  more immediate ones to ensure emis- sions are reduced adequately to keep the  required pace. 
121,page 3 of ../pdf/orsted sustainability report.pdf,"(994.0156860351562, 536.3741455078125, 1150.0699462890625, 666.8861083984375)",70,"But setting targets alone is, in itself, not a  guarantee that they will be delivered on.  Meeting the targets requires that com- panies, investors, and households decide  to phase out fossil fuel-based assets and  replace them with green energy assets.  Today, too often, those decisions are not  made because companies, investors, and  households all make their decisions in a  societal context that in different ways  favour fossil fuels over renewables.  "
122,page 3 of ../pdf/orsted sustainability report.pdf,"(994.0156860351562, 680.3741455078125, 1152.2933349609375, 798.8861083984375)",72,"Governments can make the right decisions  happen. They can identify the specific bar- riers that favour fossil fuels and hold back  green energy. And they can lay out and  execute on a detailed policy plan for how  to address these barriers. The sooner they  develop such a plan, the sooner compa- nies, investors, and households can make  sustainable choices, scale green technolo- gies, and bring us closer to a 1.5 °C world. "
123,page 3 of ../pdf/orsted sustainability report.pdf,"(822.9921264648438, 103.902587890625, 980.6471557617188, 270.8861999511719)",88,"A world that runs entirely   on green energy As a global society, we have 30 years  to undertake a systemic shift, on a scale  never before seen, to create a net-ze- ro world. Since 73 % of global carbon  emissions come from the use of energy,  rethinking the way we power our world  lies at the centre of this transformation.  From power and heat generation sys- tems to cooling, transport, and industrial  processes, every technology we use must  change its energy source from fossil fuels  to renewable energy.  "
124,page 3 of ../pdf/orsted sustainability report.pdf,"(822.9921264648438, 284.3741760253906, 979.5361938476562, 426.8861999511719)",69,"To reach net-zero emissions, we need  to create a world that runs entirely on  green energy. And the action need- ed is clear: We need to significantly  increase the build-out of green power  generation, accelerate the phase-out of  fossil-fuelled power generation, increase  green electrification in sectors currently  running on fossil fuels, and continue to  increase energy efficiency in all parts of  society. Crucially, that action must take  place now. "
125,page 3 of ../pdf/orsted sustainability report.pdf,"(822.9921264648438, 439.9026184082031, 978.5681762695312, 510.88623046875)",31,Global climate action in 2020  2020 witnessed increased global  climate efforts and progress towards  low-emission societies. Some of the  world’s biggest emitters set new targets  to reduce their carbon emissions: China  
126,page 3 of ../pdf/orsted sustainability report.pdf,"(822.9921264648438, 512.374267578125, 981.272216796875, 606.88623046875)",53,"announced its aim to be carbon-neutral  by 2060; Japan announced an ambition  to be carbon-neutral by 2050; and, in  early 2021, the US re-joined the Paris  Agreement. In Europe, the European  Union’s heads of state agreed to cut EU’s  emissions by 55 % by 2030, paving the  way for climate neutrality by 2050.  "
127,page 3 of ../pdf/orsted sustainability report.pdf,"(822.9921264648438, 620.374267578125, 978.0072631835938, 798.88623046875)",87,"The acceleration towards a low-car- bon society was further helped by the  continued decreasing cost of renewable  energy, with offshore wind, onshore  wind, and solar power outcompeting  fossil-based electricity in most parts of  the world. At the same time, we see that  global capital is increasingly channelled  into investments in the global energy  transition. More than 30 of the world’s  largest pension funds and insurers –  representing more than USD 5 trillion of  assets under management – are now  part of the UN-convened Net-Zero Asset  Owner Alliance.  "
128,page 3 of ../pdf/orsted sustainability report.pdf,"(39.6800537109375, 24.286266326904297, 1151.320068359375, 35.17426681518555)",6,Sustainability report 2020   Ørsted 7 6 
129,page 4 of ../pdf/orsted sustainability report.pdf,"(661.0336303710938, 379.9857177734375, 665.6956176757812, 389.7093200683594)",1,0 
130,page 4 of ../pdf/orsted sustainability report.pdf,"(651.7096557617188, 290.5196838378906, 665.6956176757812, 300.2432861328125)",1,200 
131,page 4 of ../pdf/orsted sustainability report.pdf,"(651.7096557617188, 335.252685546875, 665.6956176757812, 344.9762878417969)",1,100 
132,page 4 of ../pdf/orsted sustainability report.pdf,"(651.7096557617188, 245.7866668701172, 665.6956176757812, 255.51026916503906)",1,300 
133,page 4 of ../pdf/orsted sustainability report.pdf,"(651.7096557617188, 201.0536346435547, 665.6956176757812, 210.77723693847656)",1,400 
134,page 4 of ../pdf/orsted sustainability report.pdf,"(651.7096557617188, 156.3206024169922, 665.6956176757812, 166.04420471191406)",1,500 
135,page 4 of ../pdf/orsted sustainability report.pdf,"(674.7384643554688, 390.64898681640625, 1055.3944091796875, 400.3725891113281)",9,2010 2015 2020 2025 2035 2030 2045 2040 2050 
136,page 4 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 295.902587890625, 198.22901916503906, 462.8861999511719)",81,"We are transforming our company Companies are instrumental to a global  green transformation. They need to  transform their business models and  ensure that their products and operations  contribute positively to limiting global  warming to 1.5 °C. Like governments,  they also need to set clear long- and  short-term carbon emission reduction  targets in line with climate science and  take tangible immediate action, shifting  capital and talent away from fossil fuels  and conventional business, and driving the  sustainable business models of the future.  "
137,page 4 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 476.3741760253906, 196.8754119873047, 606.8861694335938)",64,"At Ørsted, we know first-hand that this  transformation is possible. Over the past  decade, we have transformed from one  of Europe’s most carbon-intensive energy  companies to a global green energy  leader. We are now on track to becoming  carbon-neutral in our energy generation  and operations by 2025, making us the  first major energy company to trans- form from fossil fuels and reach net-zero  emissions. "
