id,page,bbox,text_length,text,aurora,OSDG,combined,sentiment
97,page 9 of ../pdf/nestle.pdf,"(319.1731872558594, 212.48629760742188, 561.2966918945312, 306.9601745605469)",64,"At Nestlé, we are committed to the sustainable increase in the value of our shares, and our share price has experienced an eighteen-fold increase over  the last 20 years. From 1970 to 2000 Nestlé shares outperformed the Morgan Stanley Capital Index of Swiss blue chip stock companies by over 250% and the Morgan Stanley World Blue Chip Stock Index in USD terms by 25%.  ",['SDG_9'],,['SDG_9'],0.9136
98,page 9 of ../pdf/nestle.pdf,"(319.1731872558594, 320.4844665527344, 561.0274658203125, 474.9568176269531)",108,"For decades, Nestlé has had consistent, stable and accelerated growth in overall turnover. In terms  of current performance, the year 2001 was once again a record year for sales, net profits and dividends to shareholders, with CHF 84.7 billion in sales,  CHF 6 681 million in net profit and 4.4 % real internal growth. Nestlé has had a remarkable record in that it has shown steady profits with no large, unstable swings. There has also been a noteworthy increase  in profits in recent years due to a range of factors: effective brand management, streamlining the organisation and moving more quickly, in spite of the size of the company. ",,,,0.9561
101,page 9 of ../pdf/nestle.pdf,"(62.62419509887695, 488.53070068359375, 172.6842803955078, 678.9931640625)",49,"According to Stern Stewart’s Wealth  Added Index (WAI), Nestlé is among the top 15 companies  worldwide in creating shareholder wealth in  a ranking of the 5069 largest quoted companies. Stern Stewart calculates that between June 1996 and June 2001 Nestlé’s wealth added to shareholders amounted to USD 43.8 billion. ",,,,0.9118
102,page 9 of ../pdf/nestle.pdf,"(190.89219665527344, 428.6428527832031, 302.6946716308594, 630.9879760742188)",61,"Central to the WAI rankings is the idea that companies create value for shareholders only  if their returns to investors – from share price rises and dividends – exceed that of their “cost  of equity“, defined  as the minimum return that investors require  for putting their money  in shares of stock, rather than in minimum- risk alternatives such  as government bonds. ",,,,0.7003
104,page 10 of ../pdf/nestle.pdf,"(34.01570129394531, 212.48629760742188, 276.51263427734375, 342.9592590332031)",77,"Nestlé manages an on-going investor relations programme to ensure that all investors and potential investors are able to keep in touch with developments within the Nestlé Group of Companies. Communications tools include presentations of key financial indicators, one-on-one meetings, an Investor Relations website and the annual Nestlé Management Report. Most important, however, is  that anyone, regardless of their shareholding size, is able to telephone or e-mail the Investor Relations department for an immediate response to their enquiry. ",,,,0.5709
105,page 10 of ../pdf/nestle.pdf,"(290.55108642578125, 212.48629760742188, 531.5872192382812, 414.9574279785156)",126,"By the 1920s, Nestlé had production facilities in the majority of European countries and in 1921 the company built its first in a developing country, Brazil. Here, a model was created which has been replicated in countries throughout the developing world.  Of the 468 Nestlé factories today, 215 are located  in emerging markets. As indicated above, while about 30% of our business are in the developing world,  over 45% of our factories are located in these regions, an indication of our commitment to local  or regional production. This enables developing countries to move from being producers of raw materials to being producers of finished products. National governments across the world seek  Nestlé investments, and we are continually  investing in new operational facilities and evaluating new opportunities.  ",['SDG_17'],,['SDG_17'],0.7351
106,page 10 of ../pdf/nestle.pdf,"(290.55108642578125, 428.4817199707031, 526.3511352539062, 522.95556640625)",58,"In some countries it has taken many years for Nestlé to receive a full return on investment, but we are committed to supporting our investments over  the long term and under adverse local economic conditions. For example, in contrast to many companies, we sustained our operations in Russia during the domestic crisis in 1998 and continued  to invest.  ",,,,-0.5267
110,page 10 of ../pdf/nestle.pdf,"(34.01570129394531, 560.647705078125, 142.52420043945312, 678.9949951171875)",32,"In a survey to name the companies “most respected“ by CEOs, published in the Financial Times  in December, 2001, Nestlé took first place  in its industry category, was classified  third among European ",,,,0.0
111,page 10 of ../pdf/nestle.pdf,"(160.2801055908203, 500.5277099609375, 275.4742126464844, 619.0343017578125)",31,"companies (after Nokia and Daimler-Chrysler), and 17th overall worldwide. The ranking was based on responses received from 914 CEOs from 65 countries and was carried out by  the consultant firm PriceWaterhouseCoopers. ",,,,0.0
135,page 11 of ../pdf/nestle.pdf,"(62.63779830932617, 212.48629760742188, 297.6341552734375, 342.9592590332031)",81,"Investment combined with the transfer of know-how and expertise has a significant impact on job creation, both through direct employment, and through the multiplier effect of creating jobs in the food production and distribution chain. It is  estimated that in 2001, more than one million jobs were sustained by the business activities of the Nestlé Group of Companies. As a result, over  3.4 million workers and their family members are sustained by incomes generated as the result  of Nestlé business activities. ",['SDG_8'],,['SDG_8'],0.6249
139,page 11 of ../pdf/nestle.pdf,"(190.90550231933594, 524.6486206054688, 301.96728515625, 606.9967651367188)",23,"In late 2001, the International Herald Tribune published  an article entitled: “When Safety is Key, Some Companies are in a Class by Themselves”. ",,,,0.5994
141,page 11 of ../pdf/nestle.pdf,"(319.17352294921875, 500.528564453125, 430.8924255371094, 678.9913330078125)",47,Moody’s Investors Service and Standard’s & Poors Corp. – the two largest international credit-rating agencies.  The article stated:  “We expected to find companies with pristine balance sheets whose stocks offered modest appreciation potential  with virtually no chance that the issuer would find itself in the bankruptcy court.  ,,,,0.4767
142,page 11 of ../pdf/nestle.pdf,"(447.4415283203125, 500.64105224609375, 561.696533203125, 570.989501953125)",21,"We found the latter element but were surprised that the shares performed well over  the past decade, beating the market average.“ ",,,,0.4215
150,page 12 of ../pdf/nestle.pdf,"(34.01570129394531, 513.5762939453125, 187.390869140625, 678.7763061523438)",79,"Over 30 years ago in Moga, in northern India, support started with Nestlé providing loans at favourable rates to enable farmers to build their herds of cattle. We also worked with the local community to build confidence in the milk trade, without compromising religious considerations. A professional milk agent was established, along  with well-equipped milk collection centres. Farmers are advised on good breeding and feeding practices, and  on the health of dairy herds. Through this assistance Nestlé has helped  ",,,,0.836
151,page 12 of ../pdf/nestle.pdf,"(205.03970336914062, 501.5762939453125, 352.33819580078125, 558.7763061523438)",29,"raise the quality, hygiene and value  of the milk produced by some  85000 farmers in this district, helping in turn to improve people’s health, lifestyles and the region’s economy. ",['SDG_9'],,['SDG_9'],0.7579
152,page 12 of ../pdf/nestle.pdf,"(205.03970336914062, 573.5762939453125, 353.1468811035156, 678.7763061523438)",45,"Nestlé is also helping with the construction of facilities for drinking water and lavatories in village schools in the Moga factory milk district.  This is a partnership with the schools, parent associations and village administrations. Another project involves funding medicines for a local tuberculosis clinic. ","['SDG_4', 'SDG_6']",,"['SDG_4', 'SDG_6']",0.296
155,page 14 of ../pdf/nestle.pdf,"(34.01570129394531, 128.48629760742188, 267.5351257324219, 174.96139526367188)",31,"Nestlé typically starts operations in developing countries with dairy products and, as a result, operates as a kind of development agency to enable local farmers to create a modern dairy industry.  ",,,,0.2732
156,page 14 of ../pdf/nestle.pdf,"(34.01570129394531, 188.48568725585938, 268.1218566894531, 354.9577331542969)",93,"With over 800 agronomists and field technicians, Nestlé Agricultural Services has a key world-wide responsibility to develop and protect the source  of the raw materials to meet our production needs. While its main activity is providing agricultural extension services to farmers, Nestlé Agricultural Services also maintains ongoing dialogue at international, national and local levels. Collaboration with partners in the food chain ranges from agricultural R&D to plant and animal breeding. We work with agricultural policy-makers and trade organisations, as well as with farmers and  farmers’ organisations with the aim of improving agricultural production. ",,['SDG_2'],['SDG_2'],0.7579
157,page 14 of ../pdf/nestle.pdf,"(34.01570129394531, 368.4820251464844, 261.429443359375, 462.9559020996094)",47,"Sustainability in the supply of agricultural raw materials depends on many ecological, economic  and social factors. Wherever possible, Nestlé supports activities that contribute to sustainability  in the production of agricultural raw materials, including integrated farming techniques and  the use of all technologies that may contribute  to sustainability. ","['SDG_9', 'SDG_12']",,"['SDG_9', 'SDG_12']",0.3612
158,page 14 of ../pdf/nestle.pdf,"(34.01570129394531, 476.4801940917969, 266.314697265625, 582.9537353515625)",71,"Beginning with Brazil in 1921, entire regions have been brought out of poverty in this way, and today we estimate we have given assistance to millions of farmers over the past century and presently advise and assist some 315 000 farmers. These farmers, however, are not in any way obliged to sell their  milk to Nestlé. There are strictly no conditions attached to the technical assistance Nestlé gives  to dairy farmers. ",['SDG_1'],,['SDG_1'],-0.6705
171,page 14 of ../pdf/nestle.pdf,"(290.55120849609375, 453.43231201171875, 404.1144104003906, 678.7443237304688)",77,"Eighty years after building its first dairy product  factory in 1921, Nestlé  Brazil now has eight. They manufacture dairy products based on fresh milk from milk-producing regions that have been developed with the help of Nestlé Agricultural Services. These regions cover an area approximately six times the size of Switzerland. Beginning  with a small number of  dairy farmers struggling to make a living, assistance and advice have been given to enable Brazilian dairy farmers to improve milk ",['SDG_3'],,['SDG_3'],0.6597
172,page 14 of ../pdf/nestle.pdf,"(418.8192138671875, 417.43231201171875, 532.4702758789062, 678.7443237304688)",84,"yields through efficient pasture usage and soil- conservation techniques. Systematic vaccination and prophylactic campaigns have led to significant improvements in the health of the livestock. Nestlé also provides loans for farmers to purchase cattle and farm machinery. The infrastructure for collecting the milk down to the community level has been created, with 90 local receiving and cooling stations, and corresponding transportation and road systems. The result is that entire regions have been brought out of poverty with the creation of a strong dairy industry.  ","['SDG_1', 'SDG_15']",,"['SDG_15', 'SDG_1']",0.8402
173,page 14 of ../pdf/nestle.pdf,"(418.81890869140625, 69.43230438232422, 530.8884887695312, 162.7443084716797)",30,Agricultural Services provided to more than 115 000 farmers. This led  the Minister of Industry and Agriculture to cite Nestlé  as an example of a successful development partner for Pakistan.  ,,,,0.5859
175,page 14 of ../pdf/nestle.pdf,"(290.55120849609375, 105.43230438232422, 401.654296875, 150.7443084716797)",21,In Pakistan sales of milk per farmer have doubled in the last three years as a result  of support from Nestlé ,,,,0.4019
176,page 15 of ../pdf/nestle.pdf,"(62.63779830932617, 212.48629760742188, 295.93499755859375, 258.9613952636719)",26,"Each year, Nestlé buys CHF 8 billion of agricultural raw materials in emerging economies – around two- thirds of Nestlé’s total expenditure for agricultural raw materials.  ",,,,0.0
177,page 15 of ../pdf/nestle.pdf,"(62.63779830932617, 272.4856872558594, 304.48577880859375, 354.9598693847656)",47,"Consumers throughout the world are increasingly demanding assurance that food and beverage products are made from quality ingredients, produced through agricultural best practices. The most important ingredients for Nestlé are milk, coffee, sugar and cocoa. Together these account for some 40% of our total raw material expenditure. ",['SDG_9'],,['SDG_9'],0.7778
178,page 15 of ../pdf/nestle.pdf,"(62.63779830932617, 368.4841613769531, 299.3099060058594, 462.9580383300781)",67,"While the price of coffee on the international market is out of Nestlé’s control, Nestlé works extensively with coffee farmers to raise the income they receive, through training and technical assistance to increase the quality of their coffee. This is actually the most effective way for a farmer to increase the prices  he is paid. We are also the world’s largest direct purchaser of coffee from farmers. ",['SDG_9'],,['SDG_9'],0.7902
179,page 15 of ../pdf/nestle.pdf,"(62.637794494628906, 476.4823303222656, 294.62451171875, 582.9558715820312)",77,"A current concern shared by Nestlé is the low price of green coffee on the international market. Nestlé strongly supports long term stability in commodity prices that give an adequate return to the farmer,  as low commodity prices inevitably lead to price volatility and high prices in the future. Although the price of coffee beans is a small part of the price  of a jar of Nescafé, price swings penalise both the farmer and coffee product manufacturers. ",,,,0.5719
183,page 15 of ../pdf/nestle.pdf,"(319.1731872558594, 237.43231201171875, 553.9979248046875, 342.7442932128906)",68,"Coffee is the world’s second-largest traded commodity  (after oil) and the world’s most valuable agricultural commodity. Nestlé works closely with governments, coffee research institutes and other agencies to support growers, and has established a collection of 250 high-quality coffee varieties for plant-improvement programmes. The best varieties for their climate are supplied to farmers, encouraging efficient coffee cultivation in new areas,  or improving the yield in existing growing regions.  ","['SDG_9', 'SDG_13']",,"['SDG_13', 'SDG_9']",0.9638
185,page 15 of ../pdf/nestle.pdf,"(447.4411926269531, 597.4323120117188, 559.8980102539062, 666.7443237304688)",22,"In the Philippines, new strains and improved farm management techniques are leading to higher-quality coffee, improving the price that growers can receive.  ",['SDG_9'],,['SDG_9'],0.5719
187,page 15 of ../pdf/nestle.pdf,"(319.1731872558594, 381.43231201171875, 431.374755859375, 558.7443237304688)",55,"As a result of expanding promotion and consumption of coffee in China, in 1992 Nestlé opened a Nescafé factory in Dongguan in the southern Guandong Province. There were then virtually no locally grown Arabica coffee beans. Some were grown in the southwestern Yunnan Province, but on a very small scale. Nestlé Agricultural Services provided technical ",,,,-0.1531
188,page 15 of ../pdf/nestle.pdf,"(447.4411926269531, 357.43231201171875, 560.5436401367188, 558.7443237304688)",63,"assistance to growers, and suitable varieties were introduced, together with  a training centre, demonstration farm, and nursery to provide young coffee plants. The company also established a buying station to provide the growers with the opportunity to sell their crops. As one result,  in 1999 Nestlé purchased some 2000 tonnes of green coffee beans from thousands of small coffee growers in Yunnan Province. ",,,,0.4939
191,page 16 of ../pdf/nestle.pdf,"(34.01570129394531, 513.5762939453125, 190.83486938476562, 678.7763061523438)",87,"Nestlé installed a direct coffee- purchasing scheme in Chiapas State, Mexico, over 20 years ago. All direct purchases are governed by formal contracts set up between Nestlé Mexico and each individual post-harvest treatment plant. The contract is different depending on whether the plant is run by a farmer co-operative or by private owners who buy all or part of the coffee they treat from small farmers. For the private owners, a clause states that the price they pay to the small farmers must be the same as ",,,,0.3182
192,page 16 of ../pdf/nestle.pdf,"(205.03970336914062, 501.5762939453125, 356.4861145019531, 570.7763061523438)",28,they receive from Nestlé. This helps maximise the revenue earned by  the small farmer and farmers’  co-operatives. Improvements in quality are also rewarded with improvements  in price paid.  ,['SDG_9'],,['SDG_9'],0.8555
193,page 16 of ../pdf/nestle.pdf,"(205.03970336914062, 585.5762939453125, 359.826904296875, 678.7763061523438)",39,"Nestlé provides on-site training and equipment to allow coffee farmers to better evaluate the quality of their crop, including roasting, grinding and  tasting techniques. Nestlé agronomists also supply coffee seeds and  seedlings as well as advice on cultivation techniques. ",['SDG_9'],,['SDG_9'],0.7096
196,page 18 of ../pdf/nestle.pdf,"(34.01570129394531, 211.8643035888672, 536.2174682617188, 374.4883117675781)",56,"Nestlé transforms perishable goods into safe, high-quality food products that meet the needs of consumers. In this process  we take into account environmental considerations throughout the supply chain, from raw materials to the consumer.  Water usage is a key environmental priority. Systematic management of our environmental performance is an essential factor in Nestlé’s sustainable development strategy. ","['SDG_6', 'SDG_9', 'SDG_12', 'SDG_15']",,"['SDG_15', 'SDG_9', 'SDG_12', 'SDG_6']",0.4404
197,page 19 of ../pdf/nestle.pdf,"(62.63779830932617, 328.03131103515625, 304.0951232910156, 414.9604797363281)",52,"Raw materials  Agricultural raw materials provide the basis of Nestlé’s finished products. They also represent a significant investment. It is important that the environment from which they come is safe  and protected in a sustainable manner. Even though we do not own or operate farms, we support  and encourage sustainable agricultural practices. ","['SDG_9', 'SDG_12', 'SDG_15']",,"['SDG_15', 'SDG_9', 'SDG_12']",0.9246
198,page 19 of ../pdf/nestle.pdf,"(62.63779830932617, 212.48629760742188, 294.7189636230469, 258.9613952636719)",27,We published in 2001 a comprehensive  Environment Progress Report 2000. A summary of  the major points on Nestlé and the Environment are described below in this review. ,,,,0.5859
202,page 19 of ../pdf/nestle.pdf,"(447.4408874511719, 537.4323120117188, 557.3180541992188, 678.7443237304688)",49,"an accident. Using CO2 in the production areas is better, as it is non-toxic,  non-flammable and has little impact, should a leak occur from the closed system.  This innovative system represents an investment  of over GBP 10 million and  is now being adopted  in other Nestlé refrigeration applications worldwide. ",,,,0.144
203,page 19 of ../pdf/nestle.pdf,"(319.1732177734375, 537.4323120117188, 432.6075439453125, 678.7443237304688)",49,"a more environmentally benign alternative.  The chosen solution uses  a cascade- refrigeration cycle with two natural refrigerants, ammonia and carbon dioxide. This type of two- phase refrigeration allows the use of a minimal amount of ammonia and isolates it from the process areas, thus greatly reducing the risk of ",,,,0.4048
204,page 19 of ../pdf/nestle.pdf,"(190.90521240234375, 537.4323120117188, 304.4683532714844, 678.7443237304688)",49,"in order to achieve a high- quality and consistent finished product. The refrigeration needed to reach the low temperatures required was being achieved using HCFC – an ozone- depleting substance due for phase-out by 2015 under the Montreal Protocol.  Long before the phase-out date, it was decided to seek ","['SDG_3', 'SDG_9']",,"['SDG_9', 'SDG_3']",-0.25
206,page 19 of ../pdf/nestle.pdf,"(62.63720703125, 597.4323120117188, 173.93801879882812, 678.7443237304688)",23,Hayes coffee factory in the United Kingdom produces spray-dried and freeze-dried soluble coffees.  The production of freeze- dried coffee requires temperatures below –50ºC ,,,,0.4588
207,page 19 of ../pdf/nestle.pdf,"(319.1731872558594, 207.98629760742188, 561.4415893554688, 294.9604797363281)",49,"Manufacturing processes For Nestlé, manufacturing is an extremely important part of the supply chain.  It is here that we have the highest potential  to maximise eco-efficiency – that is, to maximise  the production of goods while, at the same time, minimising consumption of resources and reducing waste and emissions. ",,,,-0.1796
