id,page,bbox,text_length,text,aurora,OSDG,combined,sentiment
949,page 12 of ../pdf/generalmills.pdf,"(592.0, 262.2118835449219, 735.5799560546875, 293.51983642578125)",33,"n   At least 8 grams of whole grain, a ½ serving of  low-fat or nonfat dairy per regional definition,  or a ½ serving of fruits, vegetables or nuts/ seeds. (22% met these criteria.) ",,,,0.0
1067,page 13 of ../pdf/generalmills.pdf,"(595.2239990234375, 457.53240966796875, 720.4737548828125, 539.6984252929688)",30,Our top-selling Fibre One Chocolate  Fudge Brownie* in the United  Kingdom and Ireland now contains  30% less sugar than  the previous recipe  while maintaining  great taste and the  90-calorie promise.  ,,,,0.8481
1069,page 13 of ../pdf/generalmills.pdf,"(597.0499877929688, 543.6904296875, 725.746337890625, 580.6456909179688)",29,"*AC Nielsen, Total Coverage Inc. Discounters,  latest MAT to Sept. 29, 2020, Fibre One  Chocolate Fudge Brownie 5x24g top selling  SKU in Diet Management, Healthier Biscuits and  Bars category. ",,,,0.2023
1090,page 13 of ../pdf/generalmills.pdf,"(594.9449462890625, 373.2616882324219, 723.6612548828125, 408.9337158203125)",21,"By purchasing Cascadian Farm cereal,  consumers support our work with  The Nature Conservancy to restore  25 million square feet of farmland. ",['SDG_15'],,['SDG_15'],0.5994
1134,page 14 of ../pdf/generalmills.pdf,"(593.9998779296875, 314.5439147949219, 719.1295776367188, 337.8058776855469)",20,"*Includes food for both humans and pets.   Source: SPINS CY2020, Total – US Mulo,   Natural Enhanced Channel and Pet Channel. ",,,,0.3612
1138,page 14 of ../pdf/generalmills.pdf,"(405.0, 289.5118713378906, 554.6182861328125, 334.5779113769531)",30,r Packages of EPIC beef bars feature  the Ecological Outcome Verified symbol  letting consumers know that the beef is  sourced from cattle raised using practices  proven to reduce carbon emissions.  ,,,,0.0
1139,page 14 of ../pdf/generalmills.pdf,"(77.22019958496094, 440.7004089355469, 213.13148498535156, 512.1774291992188)",42,"Blue Buffalo has become the leading  natural pet food brand in the U.S. by  feeding pets like family members. Blue  Buffalo is made with high-quality  ingredients, starting with real meat, and  no corn, wheat, soy, poultry by-product  meals, artificial flavors or preservatives.  ",['SDG_9'],,['SDG_9'],0.4215
1142,page 14 of ../pdf/generalmills.pdf,"(230.2401885986328, 487.2013854980469, 360.8182067871094, 537.6784057617188)",35,"Today, Blue Buffalo has more foods  for specific breed sizes and life stages  than any other natural pet food brand,  so pet parents are sure to find the  right option for their dogs and cats. ",,,,0.5859
1144,page 14 of ../pdf/generalmills.pdf,"(391.32000732421875, 526.6343994140625, 540.010498046875, 562.703125)",22,r Blue Buffalo products meet commercial  pet food criteria outlined by the Global  Nutrition Committee of the World Small  Animal Veterinary Association. ,,,,0.0
1148,page 15 of ../pdf/generalmills.pdf,"(54.17259979248047, 336.1982116699219, 195.6839141845703, 439.52520751953125)",59,"Our approach: Today’s fast-changing  food landscape requires rapid innovation  and a steady stream of new ideas. 301  INC, the venture capital arm of General  Mills, is passionate about food and  everyone who shares that passion. 301  INC partners with emerging brands to  accelerate their growth by nurturing the  skills of founders and providing them  access to General Mills’ capabilities. ",,,,0.9413
1149,page 15 of ../pdf/generalmills.pdf,"(54.17259979248047, 445.8601989746094, 207.5706329345703, 507.0262145996094)",44,"Unlike typical venture capital funds, 301  INC offers more to its portfolio brands than  just a financial investment. 301 INC brands  are given access to a team of 20 functional  experts across marketing, sales, operations  and R&D who serve as partners to the brand  ",,,,0.0
1151,page 15 of ../pdf/generalmills.pdf,"(229.69761657714844, 336.1982116699219, 388.3174133300781, 408.02520751953125)",50,"Our progress: Access to capital, new routes  to market, emerging science and concerns  for the planet have all contributed to a new  wave of food solutions. We see this manifested  in our amazing brand partners. In fiscal  2020, we continued to grow our portfolio  and support for entrepreneurial brands by: ",,,,0.875
1206,page 15 of ../pdf/generalmills.pdf,"(284.91644287109375, 169.0074005126953, 379.565185546875, 223.07066345214844)",22,"v Dairy-free Oui TM by  Yoplait, our French-style  line of coconut milk- based yogurts, is available  in Canada, France and  the U.S. ",,,,0.0
1288,page 16 of ../pdf/generalmills.pdf,"(62.909000396728516, 570.2838745117188, 377.9750061035156, 593.5458984375)",30,"*Global policies cover a broad range of food safety areas, including: regulatory compliance; trace and recall;  labeling; claims; physical, chemical and biological hazards; transportation; and good manufacturing practices  and sanitation. ",,,,0.6908
1293,page 16 of ../pdf/generalmills.pdf,"(405.7349853515625, 533.35791015625, 704.487060546875, 556.805908203125)",50,"*Certification: We are now using a single global certification body for all General Mills owned sites, which  includes annual audits aligned with the Food Safety System Certification (FSSC) standard. Due to audit  timing delays in Brazil caused by COVID-19, we did not complete 100% of audits during the fiscal year. ",,,,0.4215
1415,page 17 of ../pdf/generalmills.pdf,"(73.17579650878906, 351.7323913574219, 301.0537109375, 423.3984069824219)",65,"In the U.S., General Mills supports product labeling changes to help  reduce food waste through clearer guidance for consumers about  food shelf life. We have updated more than 99% of our product  packaging to comply with this voluntary date-labeling initiative that  uses standard nomenclature to reduce consumer confusion. Learn  more about our food waste reduction efforts in the Planet and  Community sections of this report. ",['SDG_12'],,['SDG_12'],-0.3818
1539,page 18 of ../pdf/generalmills.pdf,"(54.0, 571.4439086914062, 720.5519409179688, 586.7078857421875)",58,*Locally applicable programs include: Australia – Responsible Child Marketing Initiative of the Australian Food and Grocery Council; Brazil – Enhanced Commitment to Responsible Advertising to Children pledge; Canada – Canadian  Children’s Food and Beverage Advertising Initiative requirements; Europe – EU Pledge requirements; Singapore – Singapore Food and Beverage Industry Responsible Advertising to Children Initiative; U.S. – CFBAI requirements. ,,,,0.8176
1540,page 18 of ../pdf/generalmills.pdf,"(404.19720458984375, 490.8518981933594, 561.2830810546875, 562.90966796875)",40,v General Mills joined other  food and beverage companies  in signing a letter to the UN  Secretary General in September  2018 highlighting commitments  and achievements to reduce the burden of  noncommunicable diseases in support of   UN Sustainable Development Goal 3.4. ,"['SDG_9', 'SDG_17']",,"['SDG_17', 'SDG_9']",0.0772
1543,page 18 of ../pdf/generalmills.pdf,"(598.47607421875, 164.55239868164062, 721.816162109375, 341.2184143066406)",81,"We collect and use consumer  personal data for a variety of  purposes, including to provide  recipe-related publications to  consumers who subscribe for these,  to run sweepstakes and contests,  to ensure that our advertising is  directed to relevant audiences,  and to otherwise improve our  product and service offerings.  We are sensitive to the privacy  concerns of our consumers and  are fully committed to complying  with regulations, including the EU  General Data Protection Regulation  (GDPR) and the California  Consumer Privacy Act of 2018. ",,,,0.7841
1544,page 18 of ../pdf/generalmills.pdf,"(598.4760131835938, 347.55340576171875, 721.4376831054688, 503.21942138671875)",72,"In addition to meeting changing  legal requirements in this area,  General Mills is committed to acting  responsibly and transparently to  continue to earn and maintain  the trust of our consumers  with respect to our collection,  retention and use of personal  data. We also maintain safeguards  to control against the loss of  personal data or the unauthorized  access, use, disclosure,  destruction or modification  of personal data. Learn more  in our data privacy policy.* ",,,,0.6597
1546,page 18 of ../pdf/generalmills.pdf,"(598.5, 510.2138977050781, 717.053466796875, 541.473876953125)",22,*Links to main U.S. policy as an example.  General Mills has additional privacy  policies specific to other parts of our  business globally. ,,,,0.0
1653,page 19 of ../pdf/generalmills.pdf,"(78.96920013427734, 383.452392578125, 188.44918823242188, 528.618408203125)",64,We have three Annie’s macaroni  and cheese products that are  made with real cheese from  grass-fed dairy cows with  year-round access to pasture.  We work closely with our  supplier partners to ensure  that the organic milk used in  the making of these cheeses  comes from cows that are  raised and treated humanely.  Our packaging encourages  consumers to learn more about  our sustainable food practices. ,"['SDG_9', 'SDG_12']",,"['SDG_9', 'SDG_12']",0.6705
1707,page 21 of ../pdf/generalmills.pdf,"(54.45989990234375, 575.8839111328125, 492.0451965332031, 601.14990234375)",50,"*See the definitions of sustainably sourced for our 10 priority ingredients on page 71. **This is an ongoing process; as we continue to grow our company and identify new watersheds impacted by our business, the target year may change. *** Formal measurement of progress against this goal is under development. ","['SDG_6', 'SDG_9']",,"['SDG_6', 'SDG_9']",0.4215
1709,page 21 of ../pdf/generalmills.pdf,"(436.2417907714844, 312.976806640625, 710.93359375, 348.73480224609375)",26,"Reduce absolute GHG emissions across our full value chain  (Scopes 1, 2 and 3) by 30% by 2030 (compared to 2020);   net zero emissions by 2050 ",,,,0.34
1716,page 21 of ../pdf/generalmills.pdf,"(436.4278869628906, 471.2595520019531, 715.5682373046875, 490.30133056640625)",20,PROGRESS THROUGH 2020: 88% of our U.S. packaging and 72% of our Europe and  Australia packaging was recyclable (by weight).  ,,,,0.5473
1719,page 21 of ../pdf/generalmills.pdf,"(435.7561950683594, 532.8568115234375, 740.2493896484375, 556.6162719726562)",20,Assess and address our human rights impacts in alignment with the  United Nations Guiding Principles on Business and Human Rights ,,,,0.4215
1734,page 22 of ../pdf/generalmills.pdf,"(54.4379997253418, 61.28558349609375, 213.8441925048828, 176.82321166992188)",51,"Leadership and governance: At General  Mills, our Chairman and Chief Executive  Officer has ultimate accountability for  sustainability, which is included in his  annual performance objectives and  impacts his compensation. The Chairman  and CEO convenes the Sustainability  Governance Committee three times each  year to review and approve strategies,  programs and key investments.  ",['SDG_9'],,['SDG_9'],0.0
1735,page 22 of ../pdf/generalmills.pdf,"(54.37479782104492, 183.50662231445312, 203.52679443359375, 251.81008911132812)",30,"In 2020, the Sustainability Governance  Committee was expanded to include  our Chief Financial Officer and  General Counsel and Secretary. This  reflects the continued integration of  sustainability into the company and  ",['SDG_9'],,['SDG_9'],0.0
1737,page 22 of ../pdf/generalmills.pdf,"(229.82589721679688, 101.23611450195312, 389.23040771484375, 169.53958129882812)",28,"Oversight of the company’s sustainability  work is provided by the General Mills  Board of Directors’ Public Responsibility  Committee, which regularly reviews  the company’s sustainability objectives,  strategies and performance.  ",['SDG_9'],,['SDG_9'],0.0
1738,page 22 of ../pdf/generalmills.pdf,"(229.21759033203125, 176.22299194335938, 386.1193542480469, 244.52645874023438)",31,"The company’s Chief Sustainability  and Social Impact Officer stewards  the company’s sustainability work,  reporting to the Chief Global Operations  Officer, and working closely with the  Vice President of Global Sourcing and  ","['SDG_9', 'SDG_12']",,"['SDG_9', 'SDG_12']",0.0
1766,page 22 of ../pdf/generalmills.pdf,"(404.9999084472656, 400.7074890136719, 734.1639404296875, 418.7817687988281)",21,r General Mills helps to address these United Nations Sustainable Development Goals through  the programs and performance described in this section. ,['SDG_9'],,['SDG_9'],0.6597
1767,page 22 of ../pdf/generalmills.pdf,"(580.7958984375, 153.4918975830078, 758.0593872070312, 252.5414276123047)",69,"r Steve Rosenzweig, PhD, a senior agricultural  scientist at General Mills, testified virtually  in December 2020 before the U.S. Senate  Committee on Agriculture, Nutrition, and Forestry.  Rosenzweig highlighted the company’s work in  regenerative agriculture, the need for additional  public research and more. The testimony helped  reinforce General Mills’ leadership in educating  and advocating for policies that support the future  of regenerative agriculture, research, public- private partnership and other topics. ","['SDG_4', 'SDG_17']",,"['SDG_4', 'SDG_17']",0.4019
1859,page 23 of ../pdf/generalmills.pdf,"(54.0, 58.5989990234375, 680.4891967773438, 89.56800079345703)",22,"Climate change u Material issues: Climate change, energy use, food waste, packaging footprint  |  GRI 301 2-3, 302 1-4, 305 1-5, 306-2 ","['SDG_8', 'SDG_12', 'SDG_13']",,"['SDG_8', 'SDG_13', 'SDG_12']",-0.1779
1860,page 23 of ../pdf/generalmills.pdf,"(229.5, 549.2489013671875, 735.1780395507812, 583.514892578125)",95,"*Baseline for 2025 goal and initial 2050 goal is 2010. Baseline for 2030 goal and new 2050 goal is 2020.  **This goal focuses on the categories of GHG emissions that are the most impactful and actionable for General Mills, representing 13.9 million metric tons CO₂e in 2020 (81% of  our total value chain GHG emissions footprint). The following GHG emissions are excluded from this goal, consistent with SBTi guidelines: some low volume ingredients, capital  goods, employee commuting, franchises, downstream warehouse and storage at retail, consumer trips to store and end of life (consumer food waste). ",['SDG_12'],['SDG_12'],['SDG_12'],-0.2732
1964,page 25 of ../pdf/generalmills.pdf,"(54.0, 103.53048706054688, 721.7220458984375, 113.09738159179688)",21,"The Task Force on Climate-related Financial Disclosures (TCFD) develops voluntary, consistent climate-related financial risk disclosures for companies to provide information to  ",['SDG_13'],,['SDG_13'],-0.2732
1965,page 25 of ../pdf/generalmills.pdf,"(54.0, 115.53057861328125, 733.2235717773438, 125.09747314453125)",23,stakeholders. General Mills supports this initiative and is committed to providing our stakeholders with relevant information on climate-related issues. Our approach is summarized  ,['SDG_13'],,['SDG_13'],0.5574
1968,page 25 of ../pdf/generalmills.pdf,"(54.0, 370.0805969238281, 726.057861328125, 379.6474914550781)",24,"In 2020, General Mills commissioned Trucost to assess its climate-related transition and physical risks. Trucost undertook a robust data-driven approach for General Mills’ climate  ",,,,0.0772
1970,page 25 of ../pdf/generalmills.pdf,"(54.0, 398.5805969238281, 719.763427734375, 408.2539978027344)",23,n   Management interviews involving various leaders from across the business to understand the drivers and materiality of GMI’s potential climate-related risks and opportunities ,,,,0.128
1971,page 25 of ../pdf/generalmills.pdf,"(54.0, 415.0805969238281, 709.0476684570312, 424.7539978027344)",23,"n   Physical and transition risk assessment to quantify and qualify exposure to different transition risk categories (policy, market, reputation, technology) and physical climate  ",['SDG_13'],,['SDG_13'],-0.4939
1974,page 25 of ../pdf/generalmills.pdf,"(54.003597259521484, 545.57275390625, 724.5880126953125, 555.1397094726562)",28,"While there are risks associated with climate change, General Mills works to mitigate our risks and exposure through our supply chain and sustainability efforts. The company is well  ","['SDG_9', 'SDG_13']",,"['SDG_13', 'SDG_9']",-0.2732
1975,page 25 of ../pdf/generalmills.pdf,"(54.003597259521484, 557.5728759765625, 740.4491577148438, 567.1398315429688)",25,positioned to respond through targets and initiatives linked to climate change and regenerative agriculture and is actively engaged in policy advocacy to address climate-related issues.  ,['SDG_13'],,['SDG_13'],0.6124
1976,page 25 of ../pdf/generalmills.pdf,"(54.003597259521484, 569.572998046875, 517.8753051757812, 579.1399536132812)",22,We will continue to monitor and assess risk and advance work to ensure a stable climate and resilient future for our business. ,"['SDG_9', 'SDG_13']",,"['SDG_13', 'SDG_9']",0.4019
1981,page 25 of ../pdf/generalmills.pdf,"(53.87000274658203, 175.01220703125, 315.9010314941406, 225.88819885253906)",47,"Governance: The General Mills Board of Directors’ Public Responsibility  Committee provides oversight of the company’s sustainability work – including  our climate program. In addition, our Chairman and CEO convenes the  Sustainability Governance Committee three times each year to review  and approve climate-related strategies, programs and key investments. ","['SDG_9', 'SDG_13']",,"['SDG_13', 'SDG_9']",0.0
1982,page 25 of ../pdf/generalmills.pdf,"(53.968013763427734, 244.49420166015625, 295.52392578125, 295.3702087402344)",54,Risk management: Changes in climate affect global food security and  impact our ability to deliver quality products to consumers and value to  shareholders. Risks associated with climate change include physical risks  as well as risks associated with the transition to a low-carbon economy.  See below for details on our 2020 TCFD climate risk assessment. ,"['SDG_9', 'SDG_13']",['SDG_13'],"['SDG_13', 'SDG_9']",-0.0772
1983,page 25 of ../pdf/generalmills.pdf,"(478.0796813964844, 169.29220581054688, 718.389892578125, 220.16819763183594)",48,"Strategy: As more than 85% of our overall greenhouse gas (GHG)  emissions occur outside of General Mills operations, our climate strategy  focuses on driving transformation and reducing emissions across  our entire value chain. Our General Mills Policy on Climate outlines  our approach to mitigation, adaptation, disclosure and advocacy. ",['SDG_13'],,['SDG_13'],0.34
1984,page 25 of ../pdf/generalmills.pdf,"(477.869384765625, 254.4989013671875, 721.6088256835938, 305.3749084472656)",61,"Metrics and targets: In alignment with the new SBTi 1.5°C guidance,  General Mills will reduce absolute GHG emissions across our full value  chain (Scopes 1, 2 and 3) by 30% by 2030 (compared to 2020). By 2050,  we will achieve net zero GHG emissions across our full value chain. We  report on our metrics and targets annually in our CDP submission. ",,,,0.5859
2082,page 26 of ../pdf/generalmills.pdf,"(249.5352020263672, 498.7978820800781, 382.5064697265625, 547.2869262695312)",27,"Although this represents a small part  of our footprint, we control this phase  directly and are committed to continual  improvement. See the Sustainable  operations section for details.  ",['SDG_9'],,['SDG_9'],0.6249
2084,page 26 of ../pdf/generalmills.pdf,"(249.5352020263672, 409.27789306640625, 364.89520263671875, 477.77294921875)",33,Reducing materials use and using  lower impact materials (such as  recycled content) are the main  strategies that positively impact  water use related to packaging.  See the Packaging supply chain  section for more information. ,,,,0.296
2088,page 26 of ../pdf/generalmills.pdf,"(428.4305114746094, 398.11529541015625, 561.8981323242188, 553.7813110351562)",78,"Innovation is essential to driving  progress in this area. We funded  Sustainable Conservation, a California  Water Action Collaborative (CWAC)  partner, to develop a combined  fertilization/drip irrigation system  with private sector partner Netafim to  transform manure from San Joaquin  Valley dairies from a costly waste  product and potential groundwater  pollutant to an agricultural input.  Farmers using the “fertigation” system  on feed corn for dairy cows increased  yield per acre by 2%, improved water  use efficiency by 38% and increased  ","['SDG_9', 'SDG_12']","['SDG_2', 'SDG_6', 'SDG_15']","['SDG_15', 'SDG_2', 'SDG_12', 'SDG_6', 'SDG_9']",0.875
2091,page 26 of ../pdf/generalmills.pdf,"(53.53409957885742, 581.8839111328125, 652.8909301757812, 589.14990234375)",31,"*”The state of the world’s land and water resources for food and agriculture (SOLAW): managing systems at risk,” Food and Agriculture Organization of the United Nations, Rome, and Earthscan, London, 2011. ",,,,0.4215
2114,page 27 of ../pdf/generalmills.pdf,"(54.0, 524.223876953125, 432.9898986816406, 539.4878540039062)",30,"*Reputational water risks refer to companies’ exposure to criticism due to perceptions about their decisions, actions, or impacts on  freshwater resources and ecosystems and the communities that depend on them. ",['SDG_6'],,['SDG_6'],-0.6124
2120,page 27 of ../pdf/generalmills.pdf,"(378.55999755859375, 251.74888610839844, 623.5517578125, 267.01287841796875)",23,n   These high to extremely high watershed impact risks pose financial and brand risk  due to geographically restricted commodity sourcing or plant impact ,,,,-0.7003
2127,page 27 of ../pdf/generalmills.pdf,"(444.0, 374.3089294433594, 730.176025390625, 389.5729064941406)",25,"n   These geographically broad watershed risks cannot be pinpointed to water impacts at a specific  location. As a result, brand risk is low to medium.  ",,,,-0.6486
2135,page 27 of ../pdf/generalmills.pdf,"(86.9000015258789, 240.0460968017578, 212.38829040527344, 290.87310791015625)",23,"Assessment: A study of key  operation and growing region  watersheds, using external standards  and building on work completed  with The Nature Conservancy (TNC) ",,,,0.1779
2191,page 28 of ../pdf/generalmills.pdf,"(53.99489974975586, 294.4043884277344, 255.82298278808594, 347.50238037109375)",76,"Risk levels are based on a combination of the WRI Aqueduct Water Risk  Atlas and the WWF Water Risk Filter, customized to General Mills. We  refresh our water risk assessment every three years, and that process  was underway during the development of this report. Some of the  priority watersheds noted in this map will change, for example in China  due to recent structural changes in our business. We plan to publish the  updated version in 2021. ",['SDG_6'],,['SDG_6'],-0.7506
2203,page 28 of ../pdf/generalmills.pdf,"(578.183837890625, 470.88189697265625, 715.1248168945312, 563.5479125976562)",53,"Building on the momentum of the  Science Based Targets initiative (SBTi)  for climate, General Mills has joined the  Science Based Targets Network (SBTN)  working group on freshwater to help  companies and cities define and use  targets based on planetary boundaries  to reduce their impact on – and help  restore – the Earth’s freshwater. ","['SDG_13', 'SDG_15']",,"['SDG_15', 'SDG_13']",0.765
2209,page 28 of ../pdf/generalmills.pdf,"(68.01920318603516, 470.88189697265625, 165.93521118164062, 511.04791259765625)",20,"In 2020, General Mills  achieved a place on the CDP  ‘A List’ for water security, for  the 3rd consecutive year. ",,,,0.34
2211,page 28 of ../pdf/generalmills.pdf,"(202.5142059326172, 470.88189697265625, 351.4530944824219, 563.5479125976562)",57,"In the 2020 update of its Feeding Ourselves  Thirsty analysis, Ceres ranked General  Mills No. 3 of 18 packaged food companies  (and No. 3 of 40 food and beverage sector  companies overall). The study assessed  how companies are responding to water  risks in governance and management,  direct operations, the manufacturing supply  chain and the agricultural supply chain. ",,,,-0.6705
2212,page 28 of ../pdf/generalmills.pdf,"(390.772216796875, 470.88189697265625, 535.8121948242188, 563.5479125976562)",49,"General Mills continues to participate   in the Ceres and WWF AgWater Challenge  to protect freshwater in our agricultural  supply chain. In 2016, we were named   an AgWater Steward for having far- reaching, ongoing water commitments,  reducing water risk in agricultural supply   chains and supporting producers in   addressing these issues. ",,,,0.7184
2324,page 29 of ../pdf/generalmills.pdf,"(467.4457092285156, 265.334716796875, 550.9799194335938, 367.2818603515625)",21,Cocoa Vanilla Oats U.S. wheat U.S. sugar beets U.S. corn (dry-milled) U.S. dairy (raw fluid milk) Fiber packaging Sugarcane Palm oil ,,,,0.0
2407,page 30 of ../pdf/generalmills.pdf,"(55.28379821777344, 576.723876953125, 526.0791625976562, 591.9878540039062)",37,"*Cocoa includes chocolate as well as cocoa powder, converted into cocoa bean equivalents. See the definition of sustainably sourced for this ingredient on page 71. **See the definition of sustainably sourced for this ingredient on page 71. ",['SDG_9'],,['SDG_9'],0.2732
2629,page 32 of ../pdf/generalmills.pdf,"(54.0, 511.8839416503906, 513.3479614257812, 519.14990234375)",23,*Trend classified as positive if all engagements had positive results; threshold of two-thirds of engagements to determine classification as either negative or mixed. ,,,,0.6908
2713,page 33 of ../pdf/generalmills.pdf,"(64.16720581054688, 264.5608825683594, 197.90086364746094, 300.2329406738281)",24,Ninety percent of the fiber we use in  our packaging comes from the United  States and Canada – areas at low risk  for deforestation.  ,,,,-0.1027
2869,page 34 of ../pdf/generalmills.pdf,"(73.20459747314453, 512.1483154296875, 207.2119140625, 562.8143310546875)",24,"integrate independent smallholders  from villages neighboring the Leuser  Ecosystem in Aceh Singkil, Sumatra,  Indonesia, into the sustainable palm oil  supply chain to reduce deforestation  ","['SDG_9', 'SDG_15']",,"['SDG_15', 'SDG_9']",0.0
2871,page 34 of ../pdf/generalmills.pdf,"(225.33558654785156, 512.1483154296875, 362.3529052734375, 552.3143310546875)",22,"hiring of village extension officers who  will provide good agricultural practice,  financial literacy and NDPE training and  resources to smallholders. Learn more.  ",['SDG_4'],,['SDG_4'],0.4404
2938,page 35 of ../pdf/generalmills.pdf,"(54.0, 95.95861053466797, 672.8751220703125, 105.45761108398438)",23,"u Material issues: Biodiversity, climate change, commodity availability, farmer livelihoods, human rights, responsible sourcing, water stewardship   |  GRI 102-12, 13, 201-1, 304-2, 3 ",['SDG_13'],,['SDG_13'],0.4939
