gold;text
SDG_8;"NRAEF programs include: ProStart® – a high-school career and technical education program; Restaurant Ready – partnering with community-based organizations to provide opportunity youth and justice-involved individuals with skills training and job opportunities; Military – helping military servicemen and women transition their skills to restaurant and foodservice careers; Scholarships – financial assistance for students pursuing restaurant, foodservice and hospitality degrees; and the Hospitality Sector Registered Apprenticeship project – a partnership with the American Hotel & Lodging Association providing a hospitality apprenticeship program for the industry. To learn more about the NRAEF and its work, visit ChooseRestaurants.org."
SDG_9, SDG_12;The investment is part of NWNA's efforts to identify multiple and simultaneous sustainable packaging solutions that address plastic pollution across the globe. In September 2020, Poland Spring announced a collaboration with the University of Maine and its Forest Bioproducts Research Institute to evaluate and develop bio-based solutions that could serve as alternative packaging for Poland Spring products. As part of the collaboration, the University of Maine will explore new possible uses of materials derived from sustainably harvested Maine wood, an effort that has the potential to advance the circular economy by contributing to the total utilization of this renewable resource.
;NOTE: COVID-19 has had a major impact on the world economy in addition to that on the public health. This particular pandemic had caused severe economic destruction and not a single country has been left unaffected. The virus has forced businesses around the globe to change the way they operate. This report gives an analysis of the COVID-19 aftermath on Organic Halal Food market.
;Food industry giants like Nestle and Unilever have buckled to pressure from the animal activist organizations, vowing to release hens from cages worldwide. Alongside several other food producers, the companies partnered with Compassion in World Farming for its End the Cage initiative in an effort to free all livestock hens from cages. Nestle and Unilever together plan to move towards a full-scale phase-out of all cages within the European agricultural sector, reworking this cruel food production practice.
SDG_6, SDG_9, SDG_12, SDG_15;Innovation is essential to driving  progress in this area. We funded  Sustainable Conservation, a California  Water Action Collaborative (CWAC)  partner, to develop a combined  fertilization/drip irrigation system  with private sector partner Netafim to  transform manure from San Joaquin  Valley dairies from a costly waste  product and potential groundwater  pollutant to an agricultural input.  Farmers using the “fertigation” system  on feed corn for dairy cows increased  yield per acre by 2%, improved water  use efficiency by 38% and increased  
;*Reputational water risks refer to companies’ exposure to criticism due to perceptions about their decisions, actions, or impacts on  freshwater resources and ecosystems and the communities that depend on them. 
SDG_12;We participate in numerous  initiatives to decrease food  waste in operations and beyond,  such as the U.S. Food Waste  Challenge, Friends of Champions  12.3 and Consumer Goods  Forum Food Waste Coalition  of Action. Learn more.   
SDG_2, SDG_12;"We closely monitor and manage  our production processes to  keep surplus food out of the  waste stream. Surplus food from  our operations is first offered  to food bank partners to feed  hungry people; the remainder  is repurposed for animal feed  or anaerobic digestion. In fiscal  2020, 4.6% of our total production  was food waste, and less than  1% of that went to disposal.* In  addition, 13 facilities (30% of the  global total) met our zero-waste- to-landfill criteria in fiscal 2020. "
SDG_2;We will philanthropically invest and   engage with food bank, anti-hunger and  racial justice organizations to  address food insecurity that  disproportionately impacts  communities of color.  
;“Organic sales growth was essentially flat in fiscal 2018, fiscal 2019 and the for the first three quarters of fiscal 2020 (ended Feb. 23, 2020) before benefiting from the pandemic-related demand beginning fiscal 4Q20 (ended May 2020),” Fitch said. “Volume growth has been challenged over the five years pre-pandemic given the company’s product mix. Cereal, convenient meals and yogurt, which collectively represent about $7.75 billion, or 44%, of the company’s sales in FY20, have been under pressure as consumer preferences shift toward healthier and more natural product offerings.
;"Anything related to contaminated items near the body — be it food, clothing or cosmetics — creates an inherent ""disgust aversion,"" Rao said."
SDG_9;“We lost a chance after the 2008 crisis to be able to race ahead and rebuild the way we do business. Consumers were forgiving back then. I don’t think they will be so this time. It is a unique opportunity for businesses around the world to jump in, lead, and rise to the challenge in terms of increased sustainability efforts.”​
;Aptos entered into a definitive agreement to acquire LS Retail, a developer and provider of all-in-one software solutions for retail, hospitality, foodservice, pharmacy and forecourt businesses. LS Retail's solutions are sold, implemented and supported through a strategic global network of channel partners servicing more than 80,000 customer sites in more than 140 countries.
SDG_7, SDG_13;"""Climate change is a real and immediate threat,"" said Karra Marino, vice president of terrapass. ""Concern over the health of our planet has grown well beyond the confines of environmental groups to include everyday consumers and businesses, like Talking Rain, who realize how critical it is to act now to reduce their carbon footprint. We are proud to work with Talking Rain as a partner in carbon mitigation and environmental preservation. And, in supporting projects that reduce carbon emissions and generate renewable energy, together, we're powering the innovation and growth we need to transition to a low carbon economy of the future."""
;General Mills: ‘The market for indulgent products will continue to grow…’​ “Our strategy has remained consistent. We look for remarkable products, purpose-driven brands and authentic founders. We think there are exciting food business around the globe and through our global scouting, we saw what Pots & Co was doing in the UK. We got involved when we heard more of their expansion plans in the US and believe our investment will help propel Pots’ growth here.​ “We believe the market for indulgent products will continue to grow. We are excited about the Pots & Co brand given its founding by chef Julian Dyer and his vision of bringing restaurant-quality desserts home. The ceramic pots further reinforce the handmade intentionality of Pots products and have become a signature element of the brand.​ “Beyond financial capital, 301 INC strives to be an indispensable partner to our portfolio brands, providing cross-functional support across a number of areas, including marketing, sales, R&D, and operations.”​ John Haugen, founder and managing director, 301 INC​
SDG_4;Sesame Workshop is the nonprofit educational organization behind Sesame Street, the pioneering television show that has been reaching and teaching children since 1969. Today, Sesame Workshop is an innovative force for change, with a mission to help kids everywhere grow smarter, stronger, and kinder. We’re present in more than 150 countries, serving vulnerable children through a wide range of media, formal education, and philanthropically funded social impact programs, each grounded in rigorous research and tailored to the needs and cultures of the communities we serve. For more information, please visit www.sesameworkshop.org.
